Datas,Gard
2022/02/20,159.0
2022/02/21,1174.0
2022/02/22,689.0
2022/02/23,794.0
2022/02/24,669.0
2022/02/25,582.0
2022/02/26,447.0
2022/02/27,92.0
2022/02/28,872.0
2022/03/01,544.0
2022/03/02,599.0
2022/03/03,511.0
2022/03/04,522.0
2022/03/05,405.0
2022/03/06,103.0
2022/03/07,883.0
2022/03/08,551.0
2022/03/09,654.0
2022/03/10,591.0
2022/03/11,653.0
2022/03/12,497.0
2022/03/13,139.0
2022/03/14,1355.0
2022/03/15,935.0
2022/03/16,1077.0
2022/03/17,1086.0
2022/03/18,1116.0
2022/03/19,846.0
2022/03/20,186.0
2022/03/21,2548.0
2022/03/22,1626.0
2022/03/23,1777.0
2022/03/24,1659.0
2022/03/25,1651.0
2022/03/26,1254.0
2022/03/27,247.0
2022/03/28,3302.0
2022/03/29,2038.0
2022/03/30,2183.0
2022/03/31,1899.0
2022/04/01,1618.0
2022/04/02,1224.0
2022/04/03,275.0
2022/04/04,2802.0
2022/04/05,1865.0
2022/04/06,1804.0
2022/04/07,1776.0
2022/04/08,1763.0
2022/04/09,1134.0
2022/04/10,195.0
2022/04/11,2629.0
2022/04/12,1609.0
2022/04/13,1647.0
2022/04/14,1390.0
2022/04/15,1279.0
2022/04/16,962.0
2022/04/17,193.0
2022/04/18,336.0
2022/04/19,2156.0
2022/04/20,1124.0
2022/04/21,986.0
2022/04/22,941.0
2022/04/23,554.0
2022/04/24,86.0
2022/04/25,1152.0
2022/04/26,614.0
2022/04/27,622.0
2022/04/28,568.0
2022/04/29,498.0
2022/04/30,352.0
2022/05/01,59.0
2022/05/02,635.0
2022/05/03,423.0
2022/05/04,335.0
2022/05/05,345.0
2022/05/06,289.0
2022/05/07,221.0
2022/05/08,62.0
2022/05/09,507.0
2022/05/10,289.0
2022/05/11,302.0
2022/05/12,271.0
2022/05/13,238.0
2022/05/14,159.0
2022/05/15,32.0
2022/05/16,386.0
2022/05/17,217.0
2022/05/18,224.0
2022/05/19,189.0
2022/05/20,161.0
2022/05/21,108.0
2022/05/22,30.0
2022/05/23,316.0
2022/05/24,170.0
2022/05/25,210.0
2022/05/26,24.0
2022/05/27,225.0
2022/05/28,114.0
2022/05/29,32.0
2022/05/30,343.0
2022/05/31,247.0
2022/06/01,229.0
2022/06/02,258.0
2022/06/03,243.0
2022/06/04,195.0
2022/06/05,42.0
2022/06/06,105.0
2022/06/07,632.0
2022/06/08,434.0
2022/06/09,564.0
2022/06/10,465.0
2022/06/11,324.0
2022/06/12,90.0
2022/06/13,921.0
2022/06/14,634.0
2022/06/15,650.0
2022/06/16,559.0
2022/06/17,562.0
2022/06/18,429.0
2022/06/19,86.0
2022/06/20,1215.0
2022/06/21,879.0
2022/06/22,903.0
2022/06/23,878.0
2022/06/24,877.0
2022/06/25,652.0
2022/06/26,155.0
2022/06/27,1691.0
2022/06/28,1279.0
2022/06/29,1187.0
2022/06/30,1158.0
2022/07/01,1110.0
2022/07/02,753.0
2022/07/03,187.0
2022/07/04,1978.0
2022/07/05,1268.0
2022/07/06,1419.0
2022/07/07,1243.0
2022/07/08,1137.0
2022/07/09,891.0
2022/07/10,195.0
2022/07/11,2158.0
2022/07/12,1280.0
2022/07/13,1314.0
2022/07/14,245.0
2022/07/15,1515.0
2022/07/16,744.0
2022/07/17,204.0
2022/07/18,1836.0
2022/07/19,1098.0
2022/07/20,1039.0
2022/07/21,945.0
2022/07/22,929.0
2022/07/23,571.0
2022/07/24,118.0
2022/07/25,1264.0
2022/07/26,791.0
2022/07/27,751.0
2022/07/28,664.0
2022/07/29,610.0
2022/07/30,448.0
2022/07/31,110.0
