Datas,Calvados
2021/04/07,250.0
2021/04/08,244.0
2021/04/09,279.0
2021/04/10,174.0
2021/04/11,73.0
2021/04/12,279.0
2021/04/13,250.0
2021/04/14,203.0
2021/04/15,262.0
2021/04/16,269.0
2021/04/17,170.0
2021/04/18,56.0
2021/04/19,276.0
2021/04/20,277.0
2021/04/21,226.0
2021/04/22,258.0
2021/04/23,256.0
2021/04/24,142.0
2021/04/25,53.0
2021/04/26,261.0
2021/04/27,199.0
2021/04/28,202.0
2021/04/29,229.0
2021/04/30,240.0
2021/05/01,63.0
2021/05/02,44.0
2021/05/03,281.0
2021/05/04,212.0
2021/05/05,158.0
2021/05/06,163.0
2021/05/07,207.0
2021/05/08,65.0
2021/05/09,51.0
2021/05/10,189.0
2021/05/11,145.0
2021/05/12,196.0
2021/05/13,38.0
2021/05/14,163.0
2021/05/15,106.0
2021/05/16,39.0
2021/05/17,218.0
2021/05/18,152.0
2021/05/19,161.0
2021/05/20,141.0
2021/05/21,106.0
2021/05/22,82.0
2021/05/23,28.0
2021/05/24,33.0
2021/05/25,138.0
2021/05/26,89.0
2021/05/27,127.0
2021/05/28,117.0
2021/05/29,63.0
2021/05/30,34.0
2021/05/31,83.0
2021/06/01,51.0
2021/06/02,60.0
2021/06/03,59.0
2021/06/04,59.0
2021/06/05,29.0
2021/06/06,17.0
2021/06/07,69.0
2021/06/08,35.0
2021/06/09,23.0
2021/06/10,32.0
2021/06/11,26.0
2021/06/12,25.0
2021/06/13,2.0
2021/06/14,29.0
2021/06/15,21.0
2021/06/16,14.0
2021/06/17,21.0
2021/06/18,23.0
2021/06/19,13.0
2021/06/20,7.0
2021/06/21,23.0
2021/06/22,24.0
2021/06/23,10.0
2021/06/24,23.0
2021/06/25,22.0
2021/06/26,8.0
2021/06/27,6.0
2021/06/28,48.0
2021/06/29,39.0
2021/06/30,48.0
2021/07/01,28.0
2021/07/02,44.0
2021/07/03,30.0
2021/07/04,13.0
2021/07/05,66.0
2021/07/06,39.0
2021/07/07,56.0
2021/07/08,62.0
2021/07/09,76.0
2021/07/10,55.0
2021/07/11,41.0
2021/07/12,116.0
2021/07/13,140.0
2021/07/14,49.0
2021/07/15,155.0
2021/07/16,207.0
2021/07/17,157.0
2021/07/18,59.0
2021/07/19,261.0
2021/07/20,255.0
2021/07/21,228.0
2021/07/22,182.0
2021/07/23,216.0
2021/07/24,173.0
2021/07/25,83.0
2021/07/26,263.0
2021/07/27,192.0
2021/07/28,268.0
2021/07/29,247.0
2021/07/30,274.0
2021/07/31,170.0
2021/08/01,59.0
2021/08/02,285.0
2021/08/03,228.0
2021/08/04,205.0
2021/08/05,210.0
2021/08/06,165.0
2021/08/07,153.0
2021/08/08,47.0
2021/08/09,203.0
2021/08/10,173.0
2021/08/11,151.0
2021/08/12,160.0
2021/08/13,111.0
2021/08/14,109.0
2021/08/15,30.0
2021/08/16,161.0
2021/08/17,122.0
2021/08/18,122.0
2021/08/19,102.0
2021/08/20,122.0
2021/08/21,100.0
2021/08/22,32.0
2021/08/23,90.0
2021/08/24,99.0
2021/08/25,91.0
2021/08/26,60.0
2021/08/27,81.0
2021/08/28,49.0
2021/08/29,33.0
2021/08/30,83.0
2021/08/31,68.0
2021/09/01,69.0
2021/09/02,42.0
2021/09/03,55.0
2021/09/04,42.0
2021/09/05,25.0
2021/09/06,53.0
2021/09/07,40.0
2021/09/08,36.0
2021/09/09,40.0
2021/09/10,38.0
2021/09/11,25.0
2021/09/12,20.0
2021/09/13,29.0
2021/09/14,22.0
2021/09/15,26.0
2021/09/16,31.0
2021/09/17,18.0
2021/09/18,25.0
2021/09/19,5.0
2021/09/20,28.0
2021/09/21,30.0
2021/09/22,23.0
2021/09/23,21.0
2021/09/24,18.0
2021/09/25,21.0
2021/09/26,10.0
2021/09/27,27.0
2021/09/28,25.0
2021/09/29,42.0
2021/09/30,27.0
2021/10/01,25.0
2021/10/02,19.0
2021/10/03,17.0
2021/10/04,35.0
2021/10/05,35.0
2021/10/06,15.0
2021/10/07,36.0
2021/10/08,30.0
2021/10/09,29.0
2021/10/10,10.0
2021/10/11,52.0
2021/10/12,41.0
2021/10/13,25.0
2021/10/14,37.0
2021/10/15,34.0
2021/10/16,41.0
2021/10/17,21.0
2021/10/18,51.0
2021/10/19,52.0
2021/10/20,60.0
2021/10/21,42.0
2021/10/22,61.0
2021/10/23,44.0
2021/10/24,6.0
2021/10/25,54.0
2021/10/26,43.0
2021/10/27,46.0
2021/10/28,54.0
2021/10/29,42.0
2021/10/30,39.0
2021/10/31,11.0
2021/11/01,28.0
2021/11/02,72.0
2021/11/03,71.0
2021/11/04,69.0
2021/11/05,78.0
2021/11/06,62.0
2021/11/07,35.0
2021/11/08,78.0
2021/11/09,60.0
2021/11/10,80.0
2021/11/11,16.0
2021/11/12,86.0
2021/11/13,56.0
2021/11/14,28.0
2021/11/15,104.0
2021/11/16,103.0
2021/11/17,107.0
2021/11/18,126.0
2021/11/19,142.0
2021/11/20,108.0
2021/11/21,29.0
2021/11/22,182.0
2021/11/23,142.0
2021/11/24,152.0
2021/11/25,172.0
2021/11/26,194.0
2021/11/27,149.0
2021/11/28,46.0
2021/11/29,277.0
2021/11/30,223.0
2021/12/01,239.0
2021/12/02,255.0
2021/12/03,238.0
2021/12/04,176.0
2021/12/05,66.0
2021/12/06,344.0
2021/12/07,222.0
2021/12/08,231.0
2021/12/09,263.0
2021/12/10,246.0
2021/12/11,209.0
2021/12/12,73.0
2021/12/13,385.0
2021/12/14,272.0
2021/12/15,260.0
2021/12/16,300.0
2021/12/17,287.0
2021/12/18,252.0
2021/12/19,98.0
2021/12/20,422.0
2021/12/21,427.0
2021/12/22,558.0
2021/12/23,563.0
2021/12/24,635.0
2021/12/25,123.0
2021/12/26,274.0
2021/12/27,1622.0
2021/12/28,1593.0
2021/12/29,1736.0
2021/12/30,1713.0
