Datas,Ardèche
2021/11/14,25.0
2021/11/15,236.0
2021/11/16,182.0
2021/11/17,217.0
2021/11/18,213.0
2021/11/19,270.0
2021/11/20,151.0
2021/11/21,24.0
2021/11/22,379.0
2021/11/23,305.0
2021/11/24,337.0
2021/11/25,316.0
2021/11/26,368.0
2021/11/27,241.0
2021/11/28,52.0
2021/11/29,584.0
2021/11/30,487.0
2021/12/01,451.0
2021/12/02,473.0
2021/12/03,443.0
2021/12/04,376.0
2021/12/05,57.0
2021/12/06,675.0
2021/12/07,548.0
2021/12/08,485.0
2021/12/09,470.0
2021/12/10,478.0
2021/12/11,348.0
2021/12/12,67.0
2021/12/13,732.0
2021/12/14,553.0
2021/12/15,549.0
2021/12/16,491.0
2021/12/17,470.0
2021/12/18,328.0
2021/12/19,44.0
2021/12/20,616.0
2021/12/21,509.0
2021/12/22,568.0
2021/12/23,534.0
2021/12/24,440.0
2021/12/25,52.0
2021/12/26,72.0
2021/12/27,986.0
2021/12/28,865.0
2021/12/29,887.0
2021/12/30,967.0
2021/12/31,829.0
2022/01/01,87.0
2022/01/02,155.0
2022/01/03,1868.0
2022/01/04,1402.0
2022/01/05,1214.0
2022/01/06,1087.0
2022/01/07,1096.0
2022/01/08,706.0
2022/01/09,201.0
2022/01/10,1692.0
2022/01/11,1275.0
2022/01/12,1353.0
2022/01/13,1143.0
2022/01/14,1291.0
2022/01/15,946.0
2022/01/16,295.0
2022/01/17,2425.0
2022/01/18,1888.0
2022/01/19,1948.0
2022/01/20,1677.0
2022/01/21,1769.0
2022/01/22,1224.0
2022/01/23,346.0
2022/01/24,2645.0
2022/01/25,1800.0
2022/01/26,1756.0
2022/01/27,1602.0
2022/01/28,1516.0
2022/01/29,1037.0
2022/01/30,282.0
2022/01/31,2201.0
2022/02/01,1424.0
2022/02/02,1235.0
2022/02/03,1144.0
2022/02/04,1069.0
2022/02/05,732.0
2022/02/06,169.0
2022/02/07,1427.0
2022/02/08,822.0
2022/02/09,767.0
2022/02/10,676.0
2022/02/11,570.0
2022/02/12,420.0
2022/02/13,96.0
2022/02/14,722.0
2022/02/15,438.0
2022/02/16,421.0
2022/02/17,397.0
2022/02/18,355.0
2022/02/19,272.0
2022/02/20,51.0
2022/02/21,459.0
2022/02/22,330.0
2022/02/23,283.0
2022/02/24,262.0
2022/02/25,221.0
2022/02/26,197.0
2022/02/27,40.0
2022/02/28,402.0
2022/03/01,238.0
2022/03/02,241.0
2022/03/03,242.0
2022/03/04,188.0
2022/03/05,161.0
2022/03/06,37.0
2022/03/07,388.0
2022/03/08,241.0
2022/03/09,331.0
2022/03/10,284.0
2022/03/11,292.0
2022/03/12,277.0
2022/03/13,60.0
2022/03/14,606.0
2022/03/15,454.0
2022/03/16,455.0
2022/03/17,442.0
2022/03/18,392.0
2022/03/19,330.0
2022/03/20,68.0
2022/03/21,826.0
2022/03/22,502.0
2022/03/23,581.0
2022/03/24,515.0
2022/03/25,573.0
2022/03/26,442.0
2022/03/27,84.0
2022/03/28,1005.0
2022/03/29,667.0
2022/03/30,677.0
2022/03/31,691.0
2022/04/01,570.0
2022/04/02,391.0
2022/04/03,83.0
2022/04/04,1072.0
2022/04/05,724.0
2022/04/06,728.0
2022/04/07,670.0
2022/04/08,793.0
2022/04/09,524.0
2022/04/10,93.0
2022/04/11,1199.0
2022/04/12,803.0
2022/04/13,756.0
2022/04/14,697.0
2022/04/15,692.0
2022/04/16,472.0
