Datas,Vosges
2021/04/27,116.0
2021/04/28,96.0
2021/04/29,97.0
2021/04/30,99.0
2021/05/01,11.0
2021/05/02,12.0
2021/05/03,112.0
2021/05/04,79.0
2021/05/05,79.0
2021/05/06,86.0
2021/05/07,81.0
2021/05/08,12.0
2021/05/09,6.0
2021/05/10,111.0
2021/05/11,72.0
2021/05/12,69.0
2021/05/13,7.0
2021/05/14,109.0
2021/05/15,51.0
2021/05/16,6.0
2021/05/17,85.0
2021/05/18,62.0
2021/05/19,47.0
2021/05/20,45.0
2021/05/21,77.0
2021/05/22,41.0
2021/05/23,6.0
2021/05/24,8.0
2021/05/25,84.0
2021/05/26,53.0
2021/05/27,49.0
2021/05/28,67.0
2021/05/29,25.0
2021/05/30,1.0
2021/05/31,61.0
2021/06/01,53.0
2021/06/02,43.0
2021/06/03,37.0
2021/06/04,21.0
2021/06/05,16.0
2021/06/06,2.0
2021/06/07,31.0
2021/06/08,20.0
2021/06/09,24.0
2021/06/10,18.0
2021/06/11,16.0
2021/06/12,17.0
2021/06/13,2.0
2021/06/14,20.0
2021/06/15,22.0
2021/06/16,13.0
2021/06/17,8.0
2021/06/18,16.0
2021/06/19,6.0
2021/06/20,0.0
2021/06/21,16.0
2021/06/22,6.0
2021/06/23,8.0
2021/06/24,4.0
2021/06/25,5.0
2021/06/26,8.0
2021/06/27,1.0
2021/06/28,6.0
2021/06/29,4.0
2021/06/30,2.0
2021/07/01,3.0
2021/07/02,5.0
2021/07/03,7.0
2021/07/04,1.0
2021/07/05,10.0
2021/07/06,8.0
2021/07/07,11.0
2021/07/08,12.0
2021/07/09,12.0
2021/07/10,11.0
2021/07/11,2.0
2021/07/12,13.0
2021/07/13,4.0
2021/07/14,5.0
2021/07/15,37.0
2021/07/16,29.0
2021/07/17,17.0
2021/07/18,6.0
2021/07/19,62.0
2021/07/20,52.0
2021/07/21,77.0
2021/07/22,95.0
2021/07/23,128.0
2021/07/24,60.0
2021/07/25,9.0
2021/07/26,117.0
2021/07/27,77.0
2021/07/28,86.0
2021/07/29,79.0
2021/07/30,66.0
2021/07/31,65.0
2021/08/01,2.0
2021/08/02,85.0
2021/08/03,62.0
2021/08/04,56.0
2021/08/05,51.0
2021/08/06,65.0
2021/08/07,58.0
2021/08/08,15.0
2021/08/09,96.0
2021/08/10,74.0
2021/08/11,76.0
2021/08/12,63.0
2021/08/13,73.0
2021/08/14,59.0
2021/08/15,13.0
2021/08/16,80.0
2021/08/17,71.0
2021/08/18,53.0
2021/08/19,37.0
2021/08/20,49.0
2021/08/21,49.0
2021/08/22,6.0
2021/08/23,91.0
2021/08/24,44.0
2021/08/25,38.0
2021/08/26,38.0
2021/08/27,45.0
2021/08/28,36.0
2021/08/29,6.0
2021/08/30,57.0
2021/08/31,42.0
2021/09/01,49.0
2021/09/02,56.0
2021/09/03,36.0
2021/09/04,27.0
2021/09/05,9.0
2021/09/06,59.0
2021/09/07,40.0
2021/09/08,29.0
2021/09/09,26.0
2021/09/10,27.0
2021/09/11,24.0
2021/09/12,1.0
2021/09/13,31.0
2021/09/14,33.0
2021/09/15,16.0
2021/09/16,25.0
2021/09/17,25.0
2021/09/18,37.0
2021/09/19,2.0
2021/09/20,33.0
2021/09/21,24.0
2021/09/22,14.0
2021/09/23,32.0
2021/09/24,26.0
2021/09/25,11.0
2021/09/26,0.0
2021/09/27,13.0
2021/09/28,12.0
2021/09/29,3.0
2021/09/30,12.0
2021/10/01,4.0
