Datas,Pas-de-Calais
2021/04/14,791.0
2021/04/15,757.0
2021/04/16,746.0
2021/04/17,489.0
2021/04/18,76.0
2021/04/19,1046.0
2021/04/20,687.0
2021/04/21,692.0
2021/04/22,672.0
2021/04/23,643.0
2021/04/24,447.0
2021/04/25,70.0
2021/04/26,781.0
2021/04/27,665.0
2021/04/28,590.0
2021/04/29,541.0
2021/04/30,556.0
2021/05/01,72.0
2021/05/02,55.0
2021/05/03,809.0
2021/05/04,560.0
2021/05/05,478.0
2021/05/06,495.0
2021/05/07,494.0
2021/05/08,86.0
2021/05/09,66.0
2021/05/10,690.0
2021/05/11,405.0
2021/05/12,456.0
2021/05/13,78.0
2021/05/14,460.0
2021/05/15,216.0
2021/05/16,62.0
2021/05/17,594.0
2021/05/18,436.0
2021/05/19,361.0
2021/05/20,281.0
2021/05/21,356.0
2021/05/22,198.0
2021/05/23,41.0
2021/05/24,85.0
2021/05/25,436.0
2021/05/26,266.0
2021/05/27,273.0
2021/05/28,289.0
2021/05/29,162.0
2021/05/30,26.0
2021/05/31,314.0
2021/06/01,173.0
2021/06/02,145.0
2021/06/03,145.0
2021/06/04,127.0
2021/06/05,115.0
2021/06/06,10.0
2021/06/07,165.0
2021/06/08,116.0
2021/06/09,69.0
2021/06/10,68.0
2021/06/11,51.0
2021/06/12,47.0
2021/06/13,5.0
2021/06/14,64.0
2021/06/15,42.0
2021/06/16,47.0
2021/06/17,40.0
2021/06/18,51.0
2021/06/19,24.0
2021/06/20,4.0
2021/06/21,37.0
2021/06/22,51.0
2021/06/23,32.0
2021/06/24,29.0
2021/06/25,35.0
2021/06/26,10.0
2021/06/27,10.0
2021/06/28,34.0
2021/06/29,21.0
2021/06/30,26.0
2021/07/01,20.0
2021/07/02,30.0
2021/07/03,18.0
2021/07/04,9.0
2021/07/05,30.0
2021/07/06,25.0
2021/07/07,25.0
2021/07/08,28.0
2021/07/09,21.0
2021/07/10,28.0
2021/07/11,14.0
2021/07/12,62.0
2021/07/13,50.0
2021/07/14,21.0
2021/07/15,101.0
2021/07/16,83.0
2021/07/17,87.0
2021/07/18,22.0
2021/07/19,184.0
2021/07/20,157.0
2021/07/21,136.0
2021/07/22,134.0
2021/07/23,160.0
2021/07/24,119.0
2021/07/25,45.0
2021/07/26,249.0
2021/07/27,160.0
2021/07/28,204.0
2021/07/29,177.0
2021/07/30,181.0
2021/07/31,157.0
2021/08/01,46.0
2021/08/02,263.0
2021/08/03,203.0
2021/08/04,257.0
2021/08/05,188.0
2021/08/06,206.0
2021/08/07,194.0
2021/08/08,29.0
2021/08/09,377.0
2021/08/10,250.0
2021/08/11,270.0
2021/08/12,236.0
2021/08/13,252.0
2021/08/14,188.0
2021/08/15,48.0
2021/08/16,332.0
2021/08/17,271.0
2021/08/18,259.0
2021/08/19,231.0
2021/08/20,241.0
2021/08/21,135.0
2021/08/22,38.0
2021/08/23,318.0
2021/08/24,210.0
2021/08/25,198.0
2021/08/26,224.0
2021/08/27,231.0
2021/08/28,127.0
2021/08/29,28.0
2021/08/30,262.0
