Datas,Loiret
2021/11/22,324.0
2021/11/23,220.0
2021/11/24,243.0
2021/11/25,266.0
2021/11/26,257.0
2021/11/27,191.0
2021/11/28,51.0
2021/11/29,462.0
2021/11/30,375.0
2021/12/01,400.0
2021/12/02,477.0
2021/12/03,458.0
2021/12/04,363.0
2021/12/05,68.0
2021/12/06,611.0
2021/12/07,549.0
2021/12/08,449.0
2021/12/09,508.0
2021/12/10,487.0
2021/12/11,323.0
2021/12/12,60.0
2021/12/13,640.0
2021/12/14,515.0
2021/12/15,449.0
2021/12/16,463.0
2021/12/17,431.0
2021/12/18,290.0
2021/12/19,76.0
2021/12/20,581.0
2021/12/21,559.0
2021/12/22,607.0
2021/12/23,690.0
2021/12/24,606.0
2021/12/25,159.0
2021/12/26,173.0
2021/12/27,1570.0
2021/12/28,1618.0
2021/12/29,1769.0
2021/12/30,1920.0
2021/12/31,1688.0
2022/01/01,352.0
2022/01/02,428.0
2022/01/03,3140.0
2022/01/04,2944.0
2022/01/05,2617.0
2022/01/06,2663.0
2022/01/07,2482.0
2022/01/08,1841.0
2022/01/09,540.0
2022/01/10,3388.0
2022/01/11,3019.0
2022/01/12,2891.0
2022/01/13,2839.0
2022/01/14,2962.0
2022/01/15,2334.0
2022/01/16,788.0
2022/01/17,4465.0
2022/01/18,3943.0
2022/01/19,3711.0
2022/01/20,3757.0
2022/01/21,3719.0
2022/01/22,2564.0
2022/01/23,812.0
2022/01/24,4732.0
2022/01/25,3962.0
2022/01/26,3317.0
2022/01/27,3164.0
2022/01/28,2964.0
2022/01/29,2007.0
2022/01/30,675.0
2022/01/31,3830.0
2022/02/01,2752.0
2022/02/02,2307.0
2022/02/03,2184.0
2022/02/04,1832.0
2022/02/05,1130.0
2022/02/06,341.0
2022/02/07,1802.0
2022/02/08,1211.0
2022/02/09,1076.0
2022/02/10,938.0
2022/02/11,888.0
2022/02/12,646.0
2022/02/13,159.0
2022/02/14,1077.0
2022/02/15,679.0
2022/02/16,695.0
2022/02/17,532.0
2022/02/18,560.0
2022/02/19,396.0
2022/02/20,123.0
2022/02/21,849.0
2022/02/22,491.0
2022/02/23,498.0
2022/02/24,429.0
2022/02/25,416.0
2022/02/26,328.0
2022/02/27,73.0
2022/02/28,629.0
2022/03/01,449.0
2022/03/02,447.0
2022/03/03,478.0
2022/03/04,454.0
2022/03/05,369.0
2022/03/06,97.0
2022/03/07,807.0
2022/03/08,607.0
2022/03/09,592.0
2022/03/10,596.0
2022/03/11,587.0
2022/03/12,449.0
2022/03/13,144.0
2022/03/14,1122.0
2022/03/15,794.0
2022/03/16,814.0
2022/03/17,808.0
2022/03/18,857.0
2022/03/19,640.0
2022/03/20,175.0
2022/03/21,1769.0
2022/03/22,1322.0
2022/03/23,1367.0
2022/03/24,1355.0
2022/03/25,1407.0
2022/03/26,951.0
2022/03/27,232.0
2022/03/28,2103.0
2022/03/29,1676.0
2022/03/30,1609.0
2022/03/31,1484.0
2022/04/01,1349.0
2022/04/02,953.0
2022/04/03,221.0
2022/04/04,2306.0
2022/04/05,1626.0
2022/04/06,1731.0
2022/04/07,1626.0
2022/04/08,1505.0
2022/04/09,982.0
2022/04/10,200.0
2022/04/11,2002.0
2022/04/12,1476.0
2022/04/13,1353.0
2022/04/14,1313.0
2022/04/15,1169.0
2022/04/16,742.0
2022/04/17,189.0
2022/04/18,193.0
2022/04/19,1677.0
2022/04/20,972.0
2022/04/21,788.0
2022/04/22,698.0
2022/04/23,520.0
2022/04/24,110.0
2022/04/25,1128.0
2022/04/26,614.0
2022/04/27,600.0
2022/04/28,479.0
2022/04/29,503.0
2022/04/30,348.0
2022/05/01,72.0
2022/05/02,900.0
2022/05/03,485.0
2022/05/04,514.0
2022/05/05,472.0
2022/05/06,418.0
2022/05/07,355.0
2022/05/08,84.0
2022/05/09,737.0
2022/05/10,433.0
2022/05/11,441.0
2022/05/12,401.0
2022/05/13,338.0
2022/05/14,246.0
2022/05/15,48.0
2022/05/16,500.0
2022/05/17,340.0
2022/05/18,311.0
2022/05/19,227.0
2022/05/20,219.0
2022/05/21,175.0
2022/05/22,23.0
2022/05/23,308.0
2022/05/24,199.0
2022/05/25,176.0
2022/05/26,29.0
2022/05/27,241.0
2022/05/28,110.0
2022/05/29,24.0
2022/05/30,348.0
2022/05/31,209.0
2022/06/01,192.0
2022/06/02,220.0
2022/06/03,249.0
2022/06/04,173.0
2022/06/05,51.0
2022/06/06,86.0
2022/06/07,529.0
2022/06/08,345.0
2022/06/09,342.0
2022/06/10,318.0
2022/06/11,279.0
2022/06/12,57.0
2022/06/13,622.0
2022/06/14,415.0
2022/06/15,483.0
2022/06/16,430.0
2022/06/17,426.0
2022/06/18,354.0
2022/06/19,81.0
2022/06/20,884.0
2022/06/21,748.0
2022/06/22,717.0
2022/06/23,725.0
2022/06/24,716.0
2022/06/25,498.0
2022/06/26,108.0
2022/06/27,1342.0
2022/06/28,1077.0
2022/06/29,1244.0
2022/06/30,1126.0
2022/07/01,1106.0
2022/07/02,854.0
2022/07/03,194.0
2022/07/04,2178.0
2022/07/05,1557.0
2022/07/06,1554.0
2022/07/07,1304.0
2022/07/08,1206.0
2022/07/09,837.0
2022/07/10,194.0
2022/07/11,1796.0
2022/07/12,1229.0
2022/07/13,1087.0
2022/07/14,133.0
2022/07/15,1184.0
2022/07/16,585.0
2022/07/17,121.0
2022/07/18,1168.0
2022/07/19,781.0
2022/07/20,690.0
2022/07/21,713.0
2022/07/22,612.0
2022/07/23,449.0
2022/07/24,70.0
2022/07/25,736.0
2022/07/26,449.0
2022/07/27,388.0
2022/07/28,380.0
2022/07/29,302.0
2022/07/30,255.0
2022/07/31,54.0
2022/08/01,484.0
2022/08/02,303.0
2022/08/03,271.0
2022/08/04,219.0
2022/08/05,187.0
2022/08/06,147.0
2022/08/07,31.0
2022/08/08,277.0
2022/08/09,206.0
2022/08/10,180.0
2022/08/11,153.0
2022/08/12,148.0
2022/08/13,103.0
2022/08/14,34.0
2022/08/15,33.0
2022/08/16,305.0
2022/08/17,193.0
2022/08/18,131.0
2022/08/19,137.0
2022/08/20,106.0
2022/08/21,34.0
2022/08/22,212.0
2022/08/23,137.0
2022/08/24,150.0
2022/08/25,160.0
2022/08/26,136.0
2022/08/27,84.0
2022/08/28,21.0
2022/08/29,214.0
2022/08/30,135.0
2022/08/31,151.0
2022/09/01,128.0
2022/09/02,103.0
2022/09/03,105.0
2022/09/04,19.0
2022/09/05,255.0
2022/09/06,228.0
2022/09/07,181.0
2022/09/08,183.0
2022/09/09,202.0
2022/09/10,193.0
2022/09/11,35.0
2022/09/12,469.0
2022/09/13,389.0
2022/09/14,348.0
2022/09/15,372.0
2022/09/16,295.0
2022/09/17,284.0
2022/09/18,50.0
2022/09/19,603.0
2022/09/20,433.0
2022/09/21,405.0
2022/09/22,355.0
2022/09/23,401.0
2022/09/24,342.0
2022/09/25,70.0
2022/09/26,743.0
2022/09/27,477.0
2022/09/28,485.0
2022/09/29,441.0
2022/09/30,399.0
2022/10/01,332.0
2022/10/02,74.0
2022/10/03,880.0
2022/10/04,695.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
