Datas,Indre-et-Loire
2021/08/17,126.0
2021/08/18,106.0
2021/08/19,101.0
2021/08/20,107.0
2021/08/21,59.0
2021/08/22,10.0
2021/08/23,119.0
2021/08/24,94.0
2021/08/25,74.0
2021/08/26,85.0
2021/08/27,97.0
2021/08/28,57.0
2021/08/29,2.0
2021/08/30,92.0
2021/08/31,71.0
2021/09/01,78.0
2021/09/02,56.0
2021/09/03,62.0
2021/09/04,43.0
2021/09/05,9.0
2021/09/06,94.0
2021/09/07,55.0
2021/09/08,55.0
2021/09/09,49.0
2021/09/10,43.0
2021/09/11,23.0
2021/09/12,3.0
2021/09/13,69.0
2021/09/14,35.0
2021/09/15,46.0
2021/09/16,43.0
2021/09/17,37.0
2021/09/18,35.0
2021/09/19,1.0
2021/09/20,56.0
2021/09/21,45.0
2021/09/22,24.0
2021/09/23,34.0
2021/09/24,22.0
2021/09/25,17.0
2021/09/26,2.0
2021/09/27,37.0
2021/09/28,13.0
2021/09/29,16.0
2021/09/30,21.0
2021/10/01,18.0
2021/10/02,11.0
2021/10/03,1.0
2021/10/04,27.0
2021/10/05,33.0
2021/10/06,13.0
2021/10/07,17.0
2021/10/08,21.0
2021/10/09,13.0
2021/10/10,1.0
2021/10/11,35.0
2021/10/12,33.0
2021/10/13,27.0
2021/10/14,39.0
2021/10/15,42.0
2021/10/16,32.0
2021/10/17,2.0
2021/10/18,71.0
2021/10/19,50.0
2021/10/20,77.0
2021/10/21,70.0
2021/10/22,53.0
2021/10/23,29.0
2021/10/24,3.0
2021/10/25,61.0
2021/10/26,51.0
2021/10/27,70.0
2021/10/28,62.0
2021/10/29,59.0
2021/10/30,43.0
2021/10/31,11.0
2021/11/01,8.0
2021/11/02,118.0
2021/11/03,106.0
2021/11/04,89.0
2021/11/05,104.0
2021/11/06,68.0
2021/11/07,4.0
2021/11/08,146.0
2021/11/09,85.0
2021/11/10,106.0
2021/11/11,8.0
2021/11/12,149.0
2021/11/13,101.0
2021/11/14,19.0
2021/11/15,192.0
2021/11/16,185.0
2021/11/17,190.0
2021/11/18,190.0
2021/11/19,186.0
2021/11/20,123.0
2021/11/21,13.0
2021/11/22,256.0
2021/11/23,247.0
2021/11/24,255.0
2021/11/25,241.0
2021/11/26,250.0
2021/11/27,156.0
2021/11/28,13.0
2021/11/29,416.0
2021/11/30,320.0
2021/12/01,314.0
2021/12/02,353.0
2021/12/03,297.0
2021/12/04,232.0
2021/12/05,19.0
2021/12/06,491.0
2021/12/07,372.0
2021/12/08,343.0
2021/12/09,334.0
2021/12/10,315.0
2021/12/11,180.0
2021/12/12,47.0
2021/12/13,440.0
2021/12/14,335.0
2021/12/15,313.0
2021/12/16,331.0
2021/12/17,303.0
2021/12/18,224.0
2021/12/19,47.0
2021/12/20,402.0
2021/12/21,393.0
2021/12/22,452.0
2021/12/23,556.0
2021/12/24,499.0
2021/12/25,59.0
2021/12/26,161.0
2021/12/27,1447.0
2021/12/28,1422.0
2021/12/29,1504.0
2021/12/30,1555.0
2021/12/31,1201.0
2022/01/01,65.0
2022/01/02,346.0
2022/01/03,3228.0
2022/01/04,2716.0
2022/01/05,2345.0
2022/01/06,2025.0
2022/01/07,1953.0
2022/01/08,1337.0
2022/01/09,403.0
2022/01/10,3231.0
2022/01/11,2606.0
2022/01/12,2551.0
2022/01/13,2544.0
2022/01/14,2658.0
2022/01/15,1842.0
2022/01/16,835.0
2022/01/17,4576.0
2022/01/18,3673.0
2022/01/19,3770.0
2022/01/20,3768.0
2022/01/21,3409.0
2022/01/22,2321.0
2022/01/23,805.0
2022/01/24,5118.0
2022/01/25,3608.0
2022/01/26,3210.0
2022/01/27,3016.0
2022/01/28,2879.0
2022/01/29,1952.0
2022/01/30,643.0
2022/01/31,4173.0
2022/02/01,2535.0
2022/02/02,2331.0
2022/02/03,2085.0
2022/02/04,1648.0
2022/02/05,1149.0
2022/02/06,316.0
2022/02/07,2059.0
2022/02/08,1134.0
2022/02/09,1197.0
2022/02/10,1044.0
2022/02/11,983.0
2022/02/12,686.0
2022/02/13,183.0
2022/02/14,1271.0
2022/02/15,804.0
2022/02/16,741.0
2022/02/17,683.0
2022/02/18,610.0
2022/02/19,483.0
2022/02/20,151.0
2022/02/21,915.0
2022/02/22,528.0
2022/02/23,598.0
2022/02/24,461.0
2022/02/25,394.0
2022/02/26,332.0
2022/02/27,88.0
2022/02/28,786.0
2022/03/01,555.0
2022/03/02,654.0
2022/03/03,570.0
2022/03/04,581.0
2022/03/05,410.0
2022/03/06,132.0
2022/03/07,1106.0
2022/03/08,816.0
2022/03/09,964.0
2022/03/10,880.0
2022/03/11,912.0
2022/03/12,671.0
2022/03/13,153.0
2022/03/14,1781.0
2022/03/15,1183.0
2022/03/16,1311.0
2022/03/17,1216.0
2022/03/18,1179.0
2022/03/19,889.0
2022/03/20,216.0
2022/03/21,2405.0
2022/03/22,1469.0
2022/03/23,1648.0
2022/03/24,1606.0
2022/03/25,1476.0
2022/03/26,1025.0
2022/03/27,228.0
2022/03/28,2572.0
2022/03/29,1694.0
2022/03/30,1728.0
2022/03/31,1550.0
2022/04/01,1379.0
2022/04/02,967.0
2022/04/03,187.0
2022/04/04,2304.0
2022/04/05,1590.0
2022/04/06,1572.0
2022/04/07,1475.0
2022/04/08,1354.0
2022/04/09,908.0
2022/04/10,183.0
2022/04/11,1873.0
2022/04/12,1194.0
2022/04/13,1256.0
2022/04/14,1097.0
2022/04/15,961.0
2022/04/16,668.0
2022/04/17,178.0
2022/04/18,190.0
2022/04/19,1352.0
2022/04/20,797.0
2022/04/21,697.0
2022/04/22,664.0
2022/04/23,470.0
2022/04/24,96.0
2022/04/25,940.0
2022/04/26,505.0
2022/04/27,497.0
2022/04/28,452.0
2022/04/29,364.0
2022/04/30,303.0
2022/05/01,59.0
2022/05/02,643.0
2022/05/03,358.0
2022/05/04,406.0
2022/05/05,330.0
2022/05/06,297.0
2022/05/07,248.0
2022/05/08,49.0
2022/05/09,547.0
2022/05/10,284.0
2022/05/11,285.0
2022/05/12,259.0
2022/05/13,239.0
2022/05/14,170.0
2022/05/15,44.0
2022/05/16,404.0
2022/05/17,221.0
2022/05/18,241.0
2022/05/19,211.0
2022/05/20,197.0
2022/05/21,164.0
2022/05/22,32.0
2022/05/23,304.0
2022/05/24,181.0
2022/05/25,174.0
2022/05/26,18.0
2022/05/27,231.0
2022/05/28,108.0
2022/05/29,42.0
2022/05/30,315.0
2022/05/31,202.0
2022/06/01,154.0
2022/06/02,188.0
2022/06/03,222.0
2022/06/04,153.0
2022/06/05,35.0
2022/06/06,87.0
2022/06/07,472.0
2022/06/08,291.0
2022/06/09,309.0
2022/06/10,275.0
2022/06/11,235.0
2022/06/12,48.0
2022/06/13,578.0
2022/06/14,509.0
2022/06/15,473.0
2022/06/16,455.0
2022/06/17,428.0
2022/06/18,318.0
2022/06/19,84.0
2022/06/20,935.0
2022/06/21,664.0
2022/06/22,741.0
2022/06/23,727.0
2022/06/24,689.0
2022/06/25,511.0
2022/06/26,115.0
2022/06/27,1431.0
2022/06/28,1100.0
2022/06/29,1159.0
2022/06/30,1060.0
2022/07/01,1022.0
2022/07/02,807.0
2022/07/03,147.0
2022/07/04,2069.0
2022/07/05,1498.0
2022/07/06,1544.0
2022/07/07,1261.0
2022/07/08,1270.0
2022/07/09,891.0
2022/07/10,185.0
2022/07/11,1803.0
2022/07/12,1131.0
2022/07/13,1114.0
2022/07/14,126.0
2022/07/15,1251.0
2022/07/16,636.0
2022/07/17,153.0
2022/07/18,1324.0
2022/07/19,769.0
2022/07/20,645.0
2022/07/21,591.0
2022/07/22,545.0
2022/07/23,345.0
2022/07/24,80.0
2022/07/25,749.0
2022/07/26,406.0
2022/07/27,418.0
2022/07/28,332.0
2022/07/29,329.0
2022/07/30,212.0
2022/07/31,47.0
2022/08/01,391.0
2022/08/02,285.0
2022/08/03,204.0
2022/08/04,202.0
2022/08/05,183.0
2022/08/06,156.0
2022/08/07,35.0
2022/08/08,275.0
2022/08/09,167.0
2022/08/10,173.0
2022/08/11,166.0
2022/08/12,139.0
2022/08/13,102.0
2022/08/14,29.0
2022/08/15,49.0
2022/08/16,263.0
2022/08/17,158.0
2022/08/18,132.0
2022/08/19,137.0
2022/08/20,80.0
2022/08/21,30.0
2022/08/22,195.0
2022/08/23,166.0
2022/08/24,130.0
2022/08/25,115.0
2022/08/26,117.0
2022/08/27,105.0
2022/08/28,28.0
2022/08/29,186.0
2022/08/30,128.0
2022/08/31,147.0
2022/09/01,108.0
2022/09/02,98.0
2022/09/03,62.0
2022/09/04,20.0
2022/09/05,162.0
2022/09/06,146.0
2022/09/07,136.0
2022/09/08,159.0
2022/09/09,138.0
2022/09/10,115.0
2022/09/11,42.0
2022/09/12,392.0
2022/09/13,292.0
2022/09/14,305.0
2022/09/15,278.0
2022/09/16,276.0
2022/09/17,183.0
2022/09/18,21.0
2022/09/19,472.0
2022/09/20,311.0
2022/09/21,328.0
2022/09/22,319.0
2022/09/23,354.0
2022/09/24,253.0
2022/09/25,52.0
2022/09/26,675.0
2022/09/27,490.0
2022/09/28,461.0
2022/09/29,453.0
2022/09/30,425.0
2022/10/01,312.0
2022/10/02,71.0
2022/10/03,921.0
2022/10/04,647.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
