Datas,Haute-Saône
2021/06/02,25.0
2021/06/03,23.0
2021/06/04,20.0
2021/06/05,11.0
2021/06/06,0.0
2021/06/07,23.0
2021/06/08,13.0
2021/06/09,18.0
2021/06/10,8.0
2021/06/11,7.0
2021/06/12,5.0
2021/06/13,0.0
2021/06/14,6.0
2021/06/15,6.0
2021/06/16,6.0
2021/06/17,1.0
2021/06/18,4.0
2021/06/19,6.0
2021/06/20,1.0
2021/06/21,2.0
2021/06/22,3.0
2021/06/23,2.0
2021/06/24,3.0
2021/06/25,6.0
2021/06/26,3.0
2021/06/27,0.0
2021/06/28,2.0
2021/06/29,4.0
2021/06/30,3.0
2021/07/01,5.0
2021/07/02,5.0
2021/07/03,2.0
2021/07/04,0.0
2021/07/05,9.0
2021/07/06,5.0
2021/07/07,5.0
2021/07/08,2.0
2021/07/09,2.0
2021/07/10,6.0
2021/07/11,0.0
2021/07/12,11.0
2021/07/13,5.0
2021/07/14,0.0
2021/07/15,6.0
2021/07/16,7.0
2021/07/17,12.0
2021/07/18,2.0
2021/07/19,24.0
2021/07/20,30.0
2021/07/21,29.0
2021/07/22,25.0
2021/07/23,39.0
2021/07/24,24.0
2021/07/25,7.0
2021/07/26,54.0
2021/07/27,29.0
2021/07/28,41.0
2021/07/29,38.0
2021/07/30,34.0
2021/07/31,21.0
2021/08/01,2.0
2021/08/02,58.0
2021/08/03,46.0
2021/08/04,60.0
2021/08/05,29.0
2021/08/06,32.0
2021/08/07,36.0
2021/08/08,8.0
2021/08/09,63.0
2021/08/10,36.0
2021/08/11,50.0
2021/08/12,52.0
2021/08/13,42.0
2021/08/14,31.0
2021/08/15,8.0
2021/08/16,56.0
2021/08/17,36.0
2021/08/18,46.0
2021/08/19,34.0
2021/08/20,31.0
2021/08/21,19.0
2021/08/22,2.0
2021/08/23,50.0
2021/08/24,50.0
2021/08/25,29.0
2021/08/26,24.0
2021/08/27,38.0
2021/08/28,20.0
2021/08/29,3.0
2021/08/30,39.0
2021/08/31,27.0
2021/09/01,27.0
2021/09/02,25.0
2021/09/03,21.0
2021/09/04,25.0
2021/09/05,1.0
2021/09/06,32.0
2021/09/07,26.0
2021/09/08,25.0
2021/09/09,19.0
2021/09/10,37.0
2021/09/11,10.0
2021/09/12,1.0
2021/09/13,24.0
2021/09/14,18.0
2021/09/15,23.0
2021/09/16,15.0
2021/09/17,13.0
2021/09/18,3.0
2021/09/19,0.0
2021/09/20,11.0
2021/09/21,5.0
2021/09/22,16.0
2021/09/23,6.0
2021/09/24,8.0
2021/09/25,7.0
2021/09/26,0.0
2021/09/27,10.0
2021/09/28,12.0
2021/09/29,15.0
2021/09/30,13.0
2021/10/01,7.0
2021/10/02,4.0
2021/10/03,2.0
2021/10/04,22.0
2021/10/05,20.0
2021/10/06,9.0
2021/10/07,7.0
2021/10/08,14.0
2021/10/09,6.0
2021/10/10,1.0
2021/10/11,17.0
2021/10/12,16.0
2021/10/13,23.0
2021/10/14,21.0
2021/10/15,18.0
2021/10/16,12.0
2021/10/17,2.0
2021/10/18,27.0
2021/10/19,11.0
2021/10/20,10.0
2021/10/21,9.0
2021/10/22,9.0
2021/10/23,14.0
2021/10/24,2.0
2021/10/25,17.0
2021/10/26,19.0
2021/10/27,13.0
2021/10/28,15.0
2021/10/29,27.0
2021/10/30,23.0
2021/10/31,0.0
2021/11/01,7.0
2021/11/02,50.0
2021/11/03,27.0
2021/11/04,18.0
2021/11/05,18.0
2021/11/06,32.0
2021/11/07,6.0
2021/11/08,44.0
2021/11/09,56.0
2021/11/10,27.0
2021/11/11,2.0
2021/11/12,40.0
2021/11/13,22.0
2021/11/14,8.0
2021/11/15,82.0
2021/11/16,57.0
2021/11/17,68.0
2021/11/18,54.0
2021/11/19,67.0
2021/11/20,56.0
2021/11/21,5.0
2021/11/22,122.0
2021/11/23,118.0
2021/11/24,100.0
2021/11/25,120.0
2021/11/26,143.0
2021/11/27,85.0
2021/11/28,11.0
2021/11/29,183.0
2021/11/30,153.0
2021/12/01,133.0
2021/12/02,132.0
2021/12/03,173.0
2021/12/04,111.0
2021/12/05,17.0
2021/12/06,258.0
2021/12/07,210.0
2021/12/08,176.0
2021/12/09,172.0
2021/12/10,159.0
2021/12/11,118.0
2021/12/12,8.0
2021/12/13,280.0
2021/12/14,205.0
2021/12/15,199.0
2021/12/16,182.0
2021/12/17,169.0
2021/12/18,133.0
2021/12/19,26.0
2021/12/20,257.0
2021/12/21,227.0
2021/12/22,176.0
2021/12/23,230.0
2021/12/24,214.0
2021/12/25,29.0
2021/12/26,28.0
2021/12/27,464.0
2021/12/28,384.0
2021/12/29,340.0
2021/12/30,425.0
2021/12/31,349.0
2022/01/01,49.0
2022/01/02,69.0
2022/01/03,919.0
2022/01/04,698.0
2022/01/05,609.0
2022/01/06,562.0
2022/01/07,549.0
2022/01/08,441.0
2022/01/09,70.0
2022/01/10,1096.0
2022/01/11,677.0
2022/01/12,787.0
2022/01/13,745.0
2022/01/14,811.0
2022/01/15,723.0
2022/01/16,102.0
2022/01/17,1607.0
2022/01/18,1181.0
2022/01/19,1225.0
2022/01/20,1150.0
2022/01/21,1208.0
2022/01/22,953.0
2022/01/23,248.0
2022/01/24,2152.0
2022/01/25,1410.0
2022/01/26,1347.0
2022/01/27,1208.0
2022/01/28,1206.0
2022/01/29,867.0
2022/01/30,220.0
2022/01/31,1875.0
2022/02/01,1234.0
2022/02/02,1078.0
2022/02/03,982.0
2022/02/04,907.0
2022/02/05,620.0
2022/02/06,136.0
2022/02/07,1215.0
2022/02/08,673.0
2022/02/09,699.0
2022/02/10,563.0
2022/02/11,482.0
2022/02/12,360.0
2022/02/13,54.0
2022/02/14,599.0
2022/02/15,379.0
2022/02/16,369.0
2022/02/17,328.0
2022/02/18,273.0
2022/02/19,189.0
2022/02/20,34.0
2022/02/21,380.0
2022/02/22,222.0
2022/02/23,260.0
2022/02/24,209.0
2022/02/25,192.0
2022/02/26,166.0
2022/02/27,21.0
2022/02/28,269.0
2022/03/01,169.0
2022/03/02,192.0
2022/03/03,186.0
2022/03/04,115.0
2022/03/05,124.0
2022/03/06,14.0
2022/03/07,279.0
2022/03/08,192.0
2022/03/09,215.0
2022/03/10,202.0
2022/03/11,203.0
2022/03/12,167.0
2022/03/13,40.0
2022/03/14,360.0
2022/03/15,291.0
2022/03/16,296.0
2022/03/17,317.0
2022/03/18,295.0
2022/03/19,305.0
2022/03/20,49.0
2022/03/21,712.0
2022/03/22,454.0
2022/03/23,547.0
2022/03/24,517.0
2022/03/25,518.0
2022/03/26,416.0
2022/03/27,54.0
2022/03/28,919.0
2022/03/29,593.0
2022/03/30,563.0
2022/03/31,553.0
