Datas,Haut-Rhin
2021/07/14,5.0
2021/07/15,80.0
2021/07/16,70.0
2021/07/17,59.0
2021/07/18,13.0
2021/07/19,157.0
2021/07/20,149.0
2021/07/21,164.0
2021/07/22,140.0
2021/07/23,172.0
2021/07/24,128.0
2021/07/25,24.0
2021/07/26,274.0
2021/07/27,192.0
2021/07/28,173.0
2021/07/29,169.0
2021/07/30,189.0
2021/07/31,124.0
2021/08/01,27.0
2021/08/02,273.0
2021/08/03,180.0
2021/08/04,179.0
2021/08/05,195.0
2021/08/06,221.0
2021/08/07,139.0
2021/08/08,49.0
2021/08/09,367.0
2021/08/10,262.0
2021/08/11,256.0
2021/08/12,252.0
2021/08/13,306.0
2021/08/14,179.0
2021/08/15,54.0
2021/08/16,401.0
2021/08/17,280.0
2021/08/18,273.0
2021/08/19,266.0
2021/08/20,258.0
2021/08/21,200.0
2021/08/22,43.0
2021/08/23,411.0
2021/08/24,311.0
2021/08/25,258.0
2021/08/26,228.0
2021/08/27,227.0
2021/08/28,143.0
2021/08/29,32.0
2021/08/30,340.0
2021/08/31,295.0
2021/09/01,250.0
2021/09/02,179.0
2021/09/03,184.0
2021/09/04,150.0
2021/09/05,20.0
2021/09/06,285.0
2021/09/07,194.0
2021/09/08,161.0
2021/09/09,167.0
2021/09/10,139.0
2021/09/11,92.0
2021/09/12,23.0
2021/09/13,198.0
2021/09/14,131.0
2021/09/15,110.0
2021/09/16,124.0
2021/09/17,100.0
2021/09/18,86.0
2021/09/19,11.0
2021/09/20,106.0
2021/09/21,76.0
2021/09/22,69.0
2021/09/23,73.0
2021/09/24,71.0
2021/09/25,46.0
2021/09/26,12.0
2021/09/27,82.0
2021/09/28,63.0
2021/09/29,51.0
2021/09/30,31.0
2021/10/01,61.0
2021/10/02,30.0
2021/10/03,6.0
2021/10/04,75.0
2021/10/05,46.0
2021/10/06,45.0
2021/10/07,64.0
2021/10/08,33.0
2021/10/09,42.0
2021/10/10,15.0
2021/10/11,72.0
2021/10/12,47.0
2021/10/13,63.0
2021/10/14,55.0
2021/10/15,41.0
2021/10/16,36.0
2021/10/17,13.0
2021/10/18,93.0
2021/10/19,55.0
2021/10/20,72.0
2021/10/21,54.0
2021/10/22,68.0
2021/10/23,48.0
2021/10/24,17.0
2021/10/25,98.0
2021/10/26,68.0
2021/10/27,77.0
2021/10/28,73.0
2021/10/29,83.0
2021/10/30,72.0
2021/10/31,26.0
2021/11/01,21.0
2021/11/02,210.0
2021/11/03,163.0
2021/11/04,169.0
2021/11/05,179.0
2021/11/06,127.0
2021/11/07,22.0
2021/11/08,251.0
2021/11/09,180.0
2021/11/10,230.0
2021/11/11,44.0
2021/11/12,368.0
2021/11/13,184.0
2021/11/14,51.0
2021/11/15,418.0
2021/11/16,312.0
2021/11/17,345.0
2021/11/18,341.0
2021/11/19,383.0
2021/11/20,285.0
2021/11/21,62.0
2021/11/22,646.0
2021/11/23,493.0
2021/11/24,442.0
2021/11/25,534.0
2021/11/26,555.0
2021/11/27,368.0
2021/11/28,104.0
2021/11/29,1015.0
2021/11/30,773.0
2021/12/01,777.0
2021/12/02,786.0
2021/12/03,771.0
2021/12/04,511.0
2021/12/05,114.0
2021/12/06,1290.0
2021/12/07,933.0
2021/12/08,840.0
2021/12/09,928.0
2021/12/10,764.0
2021/12/11,536.0
2021/12/12,118.0
2021/12/13,1244.0
2021/12/14,923.0
2021/12/15,802.0
2021/12/16,739.0
2021/12/17,726.0
2021/12/18,510.0
2021/12/19,116.0
2021/12/20,1095.0
2021/12/21,801.0
2021/12/22,861.0
2021/12/23,909.0
2021/12/24,762.0
2021/12/25,166.0
2021/12/26,264.0
2021/12/27,2207.0
2021/12/28,1818.0
2021/12/29,1934.0
2021/12/30,2054.0
2021/12/31,1514.0
2022/01/01,211.0
2022/01/02,613.0
2022/01/03,4467.0
2022/01/04,3261.0
2022/01/05,2824.0
2022/01/06,2524.0
2022/01/07,2321.0
2022/01/08,1551.0
2022/01/09,445.0
2022/01/10,4457.0
2022/01/11,2946.0
2022/01/12,3092.0
2022/01/13,2946.0
2022/01/14,3347.0
2022/01/15,2281.0
2022/01/16,645.0
2022/01/17,6149.0
2022/01/18,4458.0
2022/01/19,4356.0
2022/01/20,4352.0
2022/01/21,4281.0
2022/01/22,3078.0
2022/01/23,866.0
2022/01/24,7155.0
2022/01/25,4666.0
2022/01/26,4454.0
2022/01/27,3933.0
2022/01/28,3911.0
2022/01/29,2780.0
2022/01/30,690.0
2022/01/31,6053.0
2022/02/01,3762.0
2022/02/02,3545.0
2022/02/03,3001.0
2022/02/04,2684.0
2022/02/05,1912.0
2022/02/06,417.0
2022/02/07,3334.0
2022/02/08,1864.0
2022/02/09,1694.0
2022/02/10,1546.0
2022/02/11,1472.0
2022/02/12,977.0
2022/02/13,299.0
