Datas,Lot-et-Garonne
2021/04/24,44.0
2021/04/25,5.0
2021/04/26,120.0
2021/04/27,69.0
2021/04/28,62.0
2021/04/29,79.0
2021/04/30,79.0
2021/05/01,12.0
2021/05/02,4.0
2021/05/03,91.0
2021/05/04,79.0
2021/05/05,38.0
2021/05/06,60.0
2021/05/07,48.0
2021/05/08,13.0
2021/05/09,6.0
2021/05/10,67.0
2021/05/11,46.0
2021/05/12,62.0
2021/05/13,4.0
2021/05/14,48.0
2021/05/15,15.0
2021/05/16,5.0
2021/05/17,52.0
2021/05/18,38.0
2021/05/19,43.0
2021/05/20,30.0
2021/05/21,36.0
2021/05/22,25.0
2021/05/23,2.0
2021/05/24,7.0
2021/05/25,63.0
2021/05/26,33.0
2021/05/27,53.0
2021/05/28,39.0
2021/05/29,28.0
2021/05/30,6.0
2021/05/31,25.0
2021/06/01,25.0
2021/06/02,24.0
2021/06/03,30.0
2021/06/04,34.0
2021/06/05,15.0
2021/06/06,1.0
2021/06/07,30.0
2021/06/08,25.0
2021/06/09,27.0
2021/06/10,23.0
2021/06/11,19.0
2021/06/12,18.0
2021/06/13,0.0
2021/06/14,24.0
2021/06/15,15.0
2021/06/16,14.0
2021/06/17,12.0
2021/06/18,14.0
2021/06/19,7.0
2021/06/20,1.0
2021/06/21,13.0
2021/06/22,5.0
2021/06/23,7.0
2021/06/24,5.0
2021/06/25,5.0
2021/06/26,2.0
2021/06/27,1.0
2021/06/28,4.0
2021/06/29,8.0
2021/06/30,8.0
2021/07/01,10.0
2021/07/02,3.0
2021/07/03,2.0
2021/07/04,0.0
2021/07/05,11.0
2021/07/06,8.0
2021/07/07,9.0
2021/07/08,9.0
2021/07/09,7.0
2021/07/10,4.0
2021/07/11,3.0
2021/07/12,20.0
2021/07/13,18.0
2021/07/14,7.0
2021/07/15,55.0
2021/07/16,33.0
2021/07/17,30.0
2021/07/18,12.0
2021/07/19,73.0
2021/07/20,66.0
2021/07/21,79.0
2021/07/22,73.0
2021/07/23,69.0
2021/07/24,70.0
2021/07/25,5.0
2021/07/26,129.0
2021/07/27,109.0
2021/07/28,110.0
2021/07/29,136.0
2021/07/30,113.0
2021/07/31,85.0
2021/08/01,15.0
2021/08/02,146.0
2021/08/03,105.0
2021/08/04,134.0
2021/08/05,114.0
2021/08/06,74.0
2021/08/07,98.0
2021/08/08,12.0
2021/08/09,145.0
2021/08/10,129.0
2021/08/11,121.0
2021/08/12,134.0
2021/08/13,114.0
2021/08/14,81.0
2021/08/15,13.0
2021/08/16,166.0
2021/08/17,128.0
2021/08/18,116.0
2021/08/19,109.0
2021/08/20,117.0
2021/08/21,55.0
2021/08/22,11.0
2021/08/23,107.0
2021/08/24,101.0
2021/08/25,77.0
2021/08/26,67.0
2021/08/27,66.0
2021/08/28,52.0
2021/08/29,3.0
2021/08/30,81.0
2021/08/31,64.0
2021/09/01,49.0
2021/09/02,66.0
2021/09/03,38.0
2021/09/04,24.0
2021/09/05,11.0
2021/09/06,56.0
2021/09/07,57.0
2021/09/08,34.0
2021/09/09,46.0
2021/09/10,34.0
2021/09/11,51.0
2021/09/12,23.0
2021/09/13,32.0
2021/09/14,53.0
2021/09/15,37.0
2021/09/16,31.0
2021/09/17,32.0
2021/09/18,27.0
2021/09/19,7.0
2021/09/20,40.0
2021/09/21,27.0
2021/09/22,15.0
2021/09/23,21.0
2021/09/24,21.0
2021/09/25,20.0
2021/09/26,5.0
2021/09/27,17.0
2021/09/28,25.0
2021/09/29,10.0
2021/09/30,17.0
2021/10/01,12.0
2021/10/02,14.0
2021/10/03,1.0
2021/10/04,12.0
2021/10/05,17.0
2021/10/06,6.0
2021/10/07,23.0
2021/10/08,19.0
2021/10/09,19.0
2021/10/10,2.0
2021/10/11,35.0
2021/10/12,15.0
2021/10/13,16.0
2021/10/14,14.0
2021/10/15,10.0
2021/10/16,11.0
2021/10/17,1.0
2021/10/18,29.0
2021/10/19,44.0
2021/10/20,41.0
2021/10/21,37.0
2021/10/22,49.0
2021/10/23,20.0
2021/10/24,5.0
2021/10/25,68.0
2021/10/26,48.0
2021/10/27,42.0
2021/10/28,38.0
2021/10/29,44.0
2021/10/30,35.0
2021/10/31,5.0
2021/11/01,15.0
2021/11/02,61.0
2021/11/03,56.0
2021/11/04,71.0
2021/11/05,70.0
2021/11/06,47.0
2021/11/07,3.0
2021/11/08,93.0
2021/11/09,77.0
2021/11/10,92.0
2021/11/11,11.0
2021/11/12,112.0
2021/11/13,71.0
2021/11/14,10.0
2021/11/15,172.0
2021/11/16,147.0
2021/11/17,124.0
2021/11/18,143.0
2021/11/19,155.0
2021/11/20,125.0
2021/11/21,20.0
2021/11/22,287.0
2021/11/23,222.0
2021/11/24,259.0
2021/11/25,265.0
2021/11/26,289.0
2021/11/27,222.0
2021/11/28,38.0
2021/11/29,444.0
2021/11/30,362.0
2021/12/01,371.0
2021/12/02,390.0
2021/12/03,367.0
2021/12/04,254.0
2021/12/05,37.0
2021/12/06,424.0
2021/12/07,436.0
2021/12/08,373.0
2021/12/09,352.0
2021/12/10,342.0
2021/12/11,228.0
2021/12/12,40.0
2021/12/13,439.0
2021/12/14,341.0
2021/12/15,297.0
2021/12/16,279.0
2021/12/17,278.0
2021/12/18,175.0
2021/12/19,25.0
2021/12/20,345.0
2021/12/21,266.0
2021/12/22,292.0
2021/12/23,340.0
2021/12/24,349.0
2021/12/25,44.0
2021/12/26,38.0
2021/12/27,617.0
2021/12/28,526.0
2021/12/29,615.0
2021/12/30,561.0
2021/12/31,599.0
2022/01/01,69.0
2022/01/02,68.0
2022/01/03,1043.0
2022/01/04,984.0
2022/01/05,869.0
2022/01/06,739.0
2022/01/07,669.0
2022/01/08,506.0
2022/01/09,136.0
