Datas,Charente-Maritime
2021/04/13,178.0
2021/04/14,155.0
2021/04/15,181.0
2021/04/16,158.0
2021/04/17,78.0
2021/04/18,27.0
2021/04/19,184.0
2021/04/20,156.0
2021/04/21,122.0
2021/04/22,112.0
2021/04/23,129.0
2021/04/24,75.0
2021/04/25,30.0
2021/04/26,129.0
2021/04/27,116.0
2021/04/28,112.0
2021/04/29,98.0
2021/04/30,96.0
2021/05/01,27.0
2021/05/02,22.0
2021/05/03,105.0
2021/05/04,109.0
2021/05/05,61.0
2021/05/06,45.0
2021/05/07,61.0
2021/05/08,18.0
2021/05/09,4.0
2021/05/10,50.0
2021/05/11,58.0
2021/05/12,61.0
2021/05/13,14.0
2021/05/14,63.0
2021/05/15,22.0
2021/05/16,6.0
2021/05/17,51.0
2021/05/18,54.0
2021/05/19,50.0
2021/05/20,43.0
2021/05/21,28.0
2021/05/22,21.0
2021/05/23,6.0
2021/05/24,18.0
2021/05/25,69.0
2021/05/26,54.0
2021/05/27,51.0
2021/05/28,65.0
2021/05/29,25.0
2021/05/30,10.0
2021/05/31,60.0
2021/06/01,32.0
2021/06/02,28.0
2021/06/03,34.0
2021/06/04,35.0
2021/06/05,8.0
2021/06/06,3.0
2021/06/07,26.0
2021/06/08,26.0
2021/06/09,17.0
2021/06/10,14.0
2021/06/11,16.0
2021/06/12,14.0
2021/06/13,0.0
2021/06/14,17.0
2021/06/15,7.0
2021/06/16,10.0
2021/06/17,11.0
2021/06/18,13.0
2021/06/19,8.0
2021/06/20,2.0
2021/06/21,16.0
2021/06/22,9.0
2021/06/23,6.0
2021/06/24,9.0
2021/06/25,3.0
2021/06/26,5.0
2021/06/27,4.0
2021/06/28,7.0
2021/06/29,9.0
2021/06/30,18.0
2021/07/01,10.0
2021/07/02,15.0
2021/07/03,9.0
2021/07/04,4.0
2021/07/05,13.0
2021/07/06,15.0
2021/07/07,13.0
2021/07/08,23.0
2021/07/09,32.0
2021/07/10,48.0
2021/07/11,26.0
2021/07/12,107.0
2021/07/13,168.0
2021/07/14,83.0
2021/07/15,247.0
2021/07/16,270.0
2021/07/17,219.0
2021/07/18,119.0
2021/07/19,503.0
2021/07/20,458.0
2021/07/21,427.0
2021/07/22,388.0
2021/07/23,332.0
2021/07/24,265.0
2021/07/25,110.0
2021/07/26,496.0
2021/07/27,380.0
2021/07/28,314.0
2021/07/29,257.0
2021/07/30,295.0
2021/07/31,174.0
2021/08/01,68.0
2021/08/02,322.0
2021/08/03,284.0
2021/08/04,218.0
2021/08/05,188.0
2021/08/06,192.0
2021/08/07,125.0
2021/08/08,49.0
2021/08/09,231.0
2021/08/10,187.0
2021/08/11,216.0
2021/08/12,194.0
2021/08/13,171.0
2021/08/14,118.0
2021/08/15,35.0
2021/08/16,229.0
2021/08/17,183.0
2021/08/18,165.0
2021/08/19,146.0
2021/08/20,141.0
