Datas,Haute-Vienne
2021/06/01,37.0
2021/06/02,31.0
2021/06/03,20.0
2021/06/04,22.0
2021/06/05,13.0
2021/06/06,2.0
2021/06/07,23.0
2021/06/08,13.0
2021/06/09,18.0
2021/06/10,16.0
2021/06/11,11.0
2021/06/12,12.0
2021/06/13,1.0
2021/06/14,11.0
2021/06/15,6.0
2021/06/16,5.0
2021/06/17,7.0
2021/06/18,2.0
2021/06/19,6.0
2021/06/20,0.0
2021/06/21,1.0
2021/06/22,1.0
2021/06/23,0.0
2021/06/24,0.0
2021/06/25,1.0
2021/06/26,7.0
2021/06/27,0.0
2021/06/28,4.0
2021/06/29,3.0
2021/06/30,7.0
2021/07/01,1.0
2021/07/02,0.0
2021/07/03,2.0
2021/07/04,0.0
2021/07/05,9.0
2021/07/06,4.0
2021/07/07,8.0
2021/07/08,15.0
2021/07/09,8.0
2021/07/10,8.0
2021/07/11,3.0
2021/07/12,12.0
2021/07/13,9.0
2021/07/14,0.0
2021/07/15,27.0
2021/07/16,20.0
2021/07/17,16.0
2021/07/18,4.0
2021/07/19,29.0
2021/07/20,25.0
2021/07/21,27.0
2021/07/22,33.0
2021/07/23,34.0
2021/07/24,20.0
2021/07/25,1.0
2021/07/26,37.0
2021/07/27,38.0
2021/07/28,33.0
2021/07/29,25.0
2021/07/30,22.0
2021/07/31,33.0
2021/08/01,2.0
2021/08/02,48.0
2021/08/03,38.0
2021/08/04,43.0
2021/08/05,36.0
2021/08/06,39.0
2021/08/07,28.0
2021/08/08,4.0
2021/08/09,87.0
2021/08/10,53.0
2021/08/11,53.0
2021/08/12,44.0
2021/08/13,51.0
2021/08/14,37.0
2021/08/15,5.0
2021/08/16,92.0
2021/08/17,32.0
2021/08/18,62.0
2021/08/19,38.0
2021/08/20,39.0
2021/08/21,35.0
2021/08/22,1.0
2021/08/23,69.0
2021/08/24,58.0
2021/08/25,37.0
2021/08/26,54.0
2021/08/27,45.0
2021/08/28,47.0
2021/08/29,3.0
2021/08/30,59.0
2021/08/31,36.0
2021/09/01,29.0
2021/09/02,23.0
2021/09/03,16.0
2021/09/04,15.0
2021/09/05,2.0
2021/09/06,35.0
2021/09/07,32.0
2021/09/08,33.0
2021/09/09,25.0
2021/09/10,33.0
2021/09/11,36.0
2021/09/12,5.0
2021/09/13,40.0
2021/09/14,38.0
2021/09/15,24.0
2021/09/16,34.0
2021/09/17,29.0
2021/09/18,22.0
2021/09/19,5.0
2021/09/20,42.0
2021/09/21,29.0
2021/09/22,23.0
2021/09/23,46.0
2021/09/24,32.0
2021/09/25,30.0
2021/09/26,2.0
2021/09/27,35.0
2021/09/28,27.0
2021/09/29,32.0
2021/09/30,25.0
2021/10/01,23.0
2021/10/02,9.0
2021/10/03,3.0
2021/10/04,33.0
2021/10/05,18.0
2021/10/06,15.0
2021/10/07,26.0
2021/10/08,7.0
2021/10/09,11.0
2021/10/10,0.0
2021/10/11,12.0
2021/10/12,10.0
2021/10/13,13.0
2021/10/14,11.0
2021/10/15,16.0
2021/10/16,7.0
2021/10/17,0.0
2021/10/18,17.0
2021/10/19,17.0
2021/10/20,15.0
2021/10/21,16.0
2021/10/22,22.0
2021/10/23,14.0
2021/10/24,0.0
2021/10/25,32.0
2021/10/26,36.0
2021/10/27,28.0
2021/10/28,23.0
2021/10/29,46.0
2021/10/30,27.0
2021/10/31,9.0
2021/11/01,9.0
2021/11/02,63.0
2021/11/03,27.0
2021/11/04,62.0
2021/11/05,49.0
2021/11/06,30.0
2021/11/07,3.0
2021/11/08,49.0
2021/11/09,38.0
2021/11/10,50.0
2021/11/11,6.0
2021/11/12,80.0
2021/11/13,47.0
2021/11/14,6.0
2021/11/15,81.0
2021/11/16,73.0
2021/11/17,79.0
2021/11/18,99.0
2021/11/19,108.0
2021/11/20,58.0
2021/11/21,6.0
2021/11/22,148.0
2021/11/23,106.0
2021/11/24,130.0
2021/11/25,99.0
2021/11/26,144.0
2021/11/27,130.0
2021/11/28,4.0
2021/11/29,204.0
2021/11/30,192.0
2021/12/01,151.0
2021/12/02,211.0
2021/12/03,193.0
2021/12/04,132.0
2021/12/05,12.0
2021/12/06,303.0
2021/12/07,261.0
2021/12/08,195.0
2021/12/09,203.0
2021/12/10,174.0
2021/12/11,132.0
2021/12/12,26.0
2021/12/13,219.0
2021/12/14,158.0
2021/12/15,159.0
2021/12/16,144.0
2021/12/17,127.0
2021/12/18,133.0
2021/12/19,22.0
2021/12/20,214.0
2021/12/21,196.0
2021/12/22,230.0
2021/12/23,208.0
2021/12/24,234.0
2021/12/25,33.0
2021/12/26,79.0
2021/12/27,495.0
2021/12/28,473.0
2021/12/29,539.0
2021/12/30,615.0
2021/12/31,591.0
2022/01/01,41.0
2022/01/02,160.0
2022/01/03,1371.0
2022/01/04,1220.0
2022/01/05,1005.0
2022/01/06,934.0
2022/01/07,1018.0
2022/01/08,754.0
2022/01/09,161.0
2022/01/10,1764.0
2022/01/11,1472.0
2022/01/12,1513.0
2022/01/13,1423.0
2022/01/14,1496.0
2022/01/15,1192.0
2022/01/16,395.0
2022/01/17,2763.0
2022/01/18,2247.0
2022/01/19,2218.0
2022/01/20,2254.0
2022/01/21,2175.0
2022/01/22,1850.0
2022/01/23,530.0
2022/01/24,3930.0
2022/01/25,2913.0
2022/01/26,2650.0
2022/01/27,2412.0
2022/01/28,2456.0
2022/01/29,1792.0
2022/01/30,526.0
2022/01/31,3665.0
2022/02/01,2337.0
2022/02/02,2139.0
2022/02/03,1765.0
2022/02/04,1704.0
2022/02/05,1272.0
2022/02/06,410.0
2022/02/07,2548.0
2022/02/08,1459.0
2022/02/09,1459.0
2022/02/10,1177.0
2022/02/11,1056.0
2022/02/12,668.0
2022/02/13,217.0
2022/02/14,1431.0
2022/02/15,872.0
2022/02/16,925.0
2022/02/17,713.0
2022/02/18,679.0
2022/02/19,515.0
2022/02/20,121.0
2022/02/21,944.0
2022/02/22,529.0
2022/02/23,615.0
2022/02/24,461.0
2022/02/25,439.0
2022/02/26,316.0
2022/02/27,111.0
2022/02/28,662.0
2022/03/01,367.0
2022/03/02,408.0
2022/03/03,346.0
2022/03/04,370.0
2022/03/05,273.0
2022/03/06,88.0
2022/03/07,670.0
2022/03/08,451.0
2022/03/09,493.0
2022/03/10,415.0
2022/03/11,445.0
2022/03/12,351.0
2022/03/13,90.0
2022/03/14,817.0
2022/03/15,520.0
2022/03/16,622.0
2022/03/17,562.0
2022/03/18,555.0
2022/03/19,409.0
2022/03/20,74.0
2022/03/21,959.0
2022/03/22,580.0
2022/03/23,627.0
2022/03/24,561.0
2022/03/25,567.0
2022/03/26,441.0
2022/03/27,62.0
2022/03/28,908.0
2022/03/29,585.0
2022/03/30,546.0
2022/03/31,511.0
2022/04/01,478.0
2022/04/02,390.0
2022/04/03,57.0
2022/04/04,841.0
2022/04/05,555.0
2022/04/06,587.0
2022/04/07,545.0
2022/04/08,617.0
2022/04/09,448.0
2022/04/10,61.0
2022/04/11,872.0
2022/04/12,574.0
2022/04/13,555.0
2022/04/14,505.0
2022/04/15,417.0
2022/04/16,392.0
2022/04/17,73.0
2022/04/18,93.0
2022/04/19,792.0
2022/04/20,413.0
2022/04/21,393.0
2022/04/22,424.0
2022/04/23,261.0
2022/04/24,46.0
2022/04/25,453.0
2022/04/26,313.0
2022/04/27,274.0
2022/04/28,214.0
2022/04/29,236.0
2022/04/30,168.0
2022/05/01,28.0
2022/05/02,309.0
2022/05/03,162.0
2022/05/04,181.0
2022/05/05,176.0
