Datas,Loir-et-Cher
2021/07/22,29.0
2021/07/23,29.0
2021/07/24,21.0
2021/07/25,2.0
2021/07/26,37.0
2021/07/27,36.0
2021/07/28,37.0
2021/07/29,36.0
2021/07/30,50.0
2021/07/31,27.0
2021/08/01,5.0
2021/08/02,42.0
2021/08/03,28.0
2021/08/04,39.0
2021/08/05,30.0
2021/08/06,52.0
2021/08/07,24.0
2021/08/08,7.0
2021/08/09,60.0
2021/08/10,42.0
2021/08/11,46.0
2021/08/12,48.0
2021/08/13,68.0
2021/08/14,37.0
2021/08/15,9.0
2021/08/16,71.0
2021/08/17,45.0
2021/08/18,41.0
2021/08/19,48.0
2021/08/20,62.0
2021/08/21,39.0
2021/08/22,3.0
2021/08/23,76.0
2021/08/24,46.0
2021/08/25,45.0
2021/08/26,40.0
2021/08/27,43.0
2021/08/28,39.0
2021/08/29,3.0
2021/08/30,72.0
2021/08/31,40.0
2021/09/01,44.0
2021/09/02,27.0
2021/09/03,39.0
2021/09/04,26.0
2021/09/05,9.0
2021/09/06,26.0
2021/09/07,26.0
2021/09/08,24.0
2021/09/09,29.0
2021/09/10,9.0
2021/09/11,25.0
2021/09/12,3.0
2021/09/13,29.0
2021/09/14,23.0
2021/09/15,19.0
2021/09/16,21.0
2021/09/17,20.0
2021/09/18,6.0
2021/09/19,3.0
2021/09/20,27.0
2021/09/21,5.0
2021/09/22,17.0
2021/09/23,10.0
2021/09/24,17.0
2021/09/25,7.0
2021/09/26,1.0
2021/09/27,17.0
2021/09/28,11.0
2021/09/29,10.0
2021/09/30,9.0
2021/10/01,3.0
2021/10/02,8.0
2021/10/03,3.0
2021/10/04,24.0
2021/10/05,17.0
2021/10/06,13.0
2021/10/07,16.0
2021/10/08,13.0
2021/10/09,11.0
2021/10/10,0.0
2021/10/11,16.0
2021/10/12,17.0
2021/10/13,14.0
2021/10/14,25.0
2021/10/15,29.0
2021/10/16,12.0
2021/10/17,3.0
2021/10/18,23.0
2021/10/19,23.0
2021/10/20,34.0
2021/10/21,33.0
2021/10/22,24.0
2021/10/23,29.0
2021/10/24,1.0
2021/10/25,41.0
2021/10/26,43.0
2021/10/27,40.0
2021/10/28,30.0
2021/10/29,41.0
2021/10/30,29.0
2021/10/31,11.0
2021/11/01,5.0
2021/11/02,71.0
2021/11/03,47.0
2021/11/04,40.0
2021/11/05,41.0
2021/11/06,22.0
2021/11/07,4.0
2021/11/08,52.0
2021/11/09,45.0
2021/11/10,34.0
2021/11/11,10.0
2021/11/12,79.0
2021/11/13,41.0
2021/11/14,1.0
2021/11/15,96.0
2021/11/16,84.0
2021/11/17,83.0
2021/11/18,82.0
2021/11/19,91.0
