Datas,Savoie
2021/03/08,135.0
2021/03/09,103.0
2021/03/10,117.0
2021/03/11,103.0
2021/03/12,134.0
2021/03/13,62.0
2021/03/14,18.0
2021/03/15,174.0
2021/03/16,178.0
2021/03/17,157.0
2021/03/18,181.0
2021/03/19,175.0
2021/03/20,124.0
2021/03/21,22.0
2021/03/22,254.0
2021/03/23,196.0
2021/03/24,187.0
2021/03/25,249.0
2021/03/26,236.0
2021/03/27,146.0
2021/03/28,57.0
2021/03/29,247.0
2021/03/30,225.0
2021/03/31,207.0
2021/04/01,212.0
2021/04/02,254.0
2021/04/03,166.0
2021/04/04,36.0
2021/04/05,61.0
2021/04/06,291.0
2021/04/07,263.0
2021/04/08,220.0
2021/04/09,221.0
2021/04/10,132.0
2021/04/11,37.0
2021/04/12,281.0
2021/04/13,193.0
2021/04/14,194.0
2021/04/15,179.0
2021/04/16,197.0
2021/04/17,135.0
2021/04/18,19.0
2021/04/19,255.0
2021/04/20,176.0
2021/04/21,167.0
2021/04/22,160.0
2021/04/23,169.0
2021/04/24,83.0
2021/04/25,20.0
2021/04/26,174.0
2021/04/27,173.0
2021/04/28,126.0
2021/04/29,108.0
2021/04/30,118.0
2021/05/01,24.0
2021/05/02,30.0
2021/05/03,171.0
2021/05/04,111.0
2021/05/05,110.0
2021/05/06,83.0
2021/05/07,84.0
2021/05/08,19.0
2021/05/09,7.0
2021/05/10,127.0
2021/05/11,83.0
2021/05/12,69.0
2021/05/13,24.0
2021/05/14,72.0
2021/05/15,50.0
2021/05/16,8.0
2021/05/17,102.0
2021/05/18,74.0
2021/05/19,63.0
2021/05/20,72.0
2021/05/21,70.0
2021/05/22,56.0
2021/05/23,7.0
2021/05/24,5.0
2021/05/25,67.0
2021/05/26,85.0
2021/05/27,41.0
2021/05/28,39.0
2021/05/29,35.0
2021/05/30,9.0
2021/05/31,58.0
2021/06/01,48.0
2021/06/02,34.0
2021/06/03,38.0
2021/06/04,21.0
2021/06/05,16.0
2021/06/06,4.0
2021/06/07,41.0
2021/06/08,33.0
2021/06/09,14.0
2021/06/10,16.0
2021/06/11,11.0
2021/06/12,13.0
2021/06/13,3.0
2021/06/14,17.0
2021/06/15,7.0
2021/06/16,9.0
2021/06/17,7.0
2021/06/18,9.0
2021/06/19,5.0
2021/06/20,1.0
2021/06/21,17.0
2021/06/22,7.0
2021/06/23,4.0
2021/06/24,3.0
2021/06/25,11.0
2021/06/26,10.0
2021/06/27,1.0
2021/06/28,10.0
2021/06/29,10.0
2021/06/30,9.0
2021/07/01,20.0
2021/07/02,10.0
2021/07/03,13.0
2021/07/04,0.0
2021/07/05,18.0
2021/07/06,12.0
2021/07/07,18.0
2021/07/08,14.0
2021/07/09,21.0
2021/07/10,20.0
2021/07/11,2.0
2021/07/12,30.0
2021/07/13,47.0
2021/07/14,17.0
2021/07/15,60.0
2021/07/16,78.0
2021/07/17,66.0
2021/07/18,10.0
2021/07/19,173.0
2021/07/20,182.0
2021/07/21,217.0
2021/07/22,177.0
2021/07/23,176.0
2021/07/24,125.0
2021/07/25,35.0
2021/07/26,275.0
2021/07/27,201.0
2021/07/28,207.0
2021/07/29,177.0
2021/07/30,156.0
2021/07/31,98.0
2021/08/01,19.0
2021/08/02,244.0
2021/08/03,172.0
2021/08/04,171.0
2021/08/05,140.0
2021/08/06,171.0
2021/08/07,94.0
2021/08/08,29.0
2021/08/09,221.0
2021/08/10,212.0
2021/08/11,174.0
2021/08/12,169.0
2021/08/13,144.0
2021/08/14,112.0
2021/08/15,32.0
2021/08/16,210.0
2021/08/17,160.0
2021/08/18,147.0
2021/08/19,142.0
2021/08/20,116.0
2021/08/21,90.0
2021/08/22,29.0
2021/08/23,182.0
2021/08/24,120.0
2021/08/25,101.0
2021/08/26,116.0
2021/08/27,115.0
2021/08/28,59.0
2021/08/29,13.0
2021/08/30,143.0
2021/08/31,109.0
2021/09/01,98.0
2021/09/02,87.0
2021/09/03,76.0
2021/09/04,49.0
2021/09/05,8.0
2021/09/06,102.0
2021/09/07,70.0
2021/09/08,52.0
2021/09/09,63.0
2021/09/10,48.0
2021/09/11,23.0
2021/09/12,2.0
2021/09/13,63.0
2021/09/14,37.0
2021/09/15,30.0
2021/09/16,44.0
2021/09/17,47.0
2021/09/18,14.0
2021/09/19,7.0
2021/09/20,46.0
2021/09/21,31.0
2021/09/22,33.0
2021/09/23,31.0
2021/09/24,29.0
2021/09/25,16.0
2021/09/26,2.0
2021/09/27,49.0
2021/09/28,28.0
2021/09/29,19.0
2021/09/30,29.0
2021/10/01,37.0
2021/10/02,18.0
2021/10/03,5.0
2021/10/04,31.0
2021/10/05,28.0
2021/10/06,23.0
2021/10/07,23.0
2021/10/08,26.0
2021/10/09,11.0
2021/10/10,7.0
2021/10/11,29.0
2021/10/12,17.0
2021/10/13,24.0
2021/10/14,28.0
2021/10/15,21.0
2021/10/16,24.0
2021/10/17,1.0
2021/10/18,40.0
2021/10/19,34.0
2021/10/20,39.0
2021/10/21,37.0
2021/10/22,35.0
2021/10/23,34.0
2021/10/24,4.0
2021/10/25,52.0
2021/10/26,34.0
2021/10/27,38.0
2021/10/28,35.0
2021/10/29,51.0
2021/10/30,27.0
2021/10/31,9.0
2021/11/01,24.0
2021/11/02,104.0
2021/11/03,55.0
2021/11/04,70.0
2021/11/05,66.0
2021/11/06,46.0
2021/11/07,14.0
2021/11/08,113.0
2021/11/09,67.0
2021/11/10,103.0
2021/11/11,15.0
2021/11/12,148.0
2021/11/13,91.0
2021/11/14,15.0
