Datas,Hauts-de-Seine
2021/05/24,99.0
2021/05/25,446.0
2021/05/26,322.0
2021/05/27,265.0
2021/05/28,306.0
2021/05/29,210.0
2021/05/30,51.0
2021/05/31,349.0
2021/06/01,210.0
2021/06/02,206.0
2021/06/03,209.0
2021/06/04,169.0
2021/06/05,122.0
2021/06/06,31.0
2021/06/07,206.0
2021/06/08,131.0
2021/06/09,121.0
2021/06/10,107.0
2021/06/11,119.0
2021/06/12,79.0
2021/06/13,15.0
2021/06/14,119.0
2021/06/15,76.0
2021/06/16,63.0
2021/06/17,76.0
2021/06/18,77.0
2021/06/19,44.0
2021/06/20,22.0
2021/06/21,67.0
2021/06/22,55.0
2021/06/23,60.0
2021/06/24,62.0
2021/06/25,62.0
2021/06/26,40.0
2021/06/27,14.0
2021/06/28,77.0
2021/06/29,70.0
2021/06/30,92.0
2021/07/01,89.0
2021/07/02,125.0
2021/07/03,69.0
2021/07/04,21.0
2021/07/05,186.0
2021/07/06,164.0
2021/07/07,168.0
2021/07/08,151.0
2021/07/09,150.0
2021/07/10,114.0
2021/07/11,46.0
2021/07/12,281.0
2021/07/13,280.0
2021/07/14,80.0
2021/07/15,375.0
2021/07/16,359.0
2021/07/17,295.0
2021/07/18,94.0
2021/07/19,552.0
2021/07/20,488.0
2021/07/21,534.0
2021/07/22,484.0
2021/07/23,521.0
2021/07/24,362.0
2021/07/25,108.0
2021/07/26,674.0
2021/07/27,516.0
2021/07/28,538.0
2021/07/29,499.0
2021/07/30,486.0
2021/07/31,349.0
2021/08/01,109.0
2021/08/02,679.0
2021/08/03,542.0
2021/08/04,455.0
2021/08/05,460.0
2021/08/06,475.0
2021/08/07,320.0
2021/08/08,125.0
2021/08/09,649.0
2021/08/10,485.0
2021/08/11,392.0
2021/08/12,462.0
2021/08/13,494.0
2021/08/14,306.0
2021/08/15,106.0
2021/08/16,627.0
2021/08/17,416.0
2021/08/18,366.0
2021/08/19,396.0
2021/08/20,383.0
2021/08/21,270.0
2021/08/22,102.0
2021/08/23,520.0
2021/08/24,457.0
2021/08/25,380.0
2021/08/26,319.0
2021/08/27,366.0
2021/08/28,250.0
2021/08/29,96.0
2021/08/30,497.0
2021/08/31,383.0
2021/09/01,372.0
2021/09/02,296.0
2021/09/03,298.0
2021/09/04,238.0
2021/09/05,83.0
2021/09/06,394.0
2021/09/07,251.0
2021/09/08,269.0
2021/09/09,238.0
2021/09/10,238.0
2021/09/11,196.0
2021/09/12,53.0
2021/09/13,312.0
2021/09/14,227.0
2021/09/15,192.0
2021/09/16,190.0
2021/09/17,192.0
2021/09/18,154.0
2021/09/19,50.0
2021/09/20,216.0
2021/09/21,146.0
2021/09/22,178.0
2021/09/23,145.0
2021/09/24,199.0
2021/09/25,106.0
2021/09/26,31.0
2021/09/27,195.0
2021/09/28,145.0
2021/09/29,161.0
2021/09/30,150.0
2021/10/01,161.0
2021/10/02,123.0
2021/10/03,36.0
2021/10/04,205.0
2021/10/05,152.0
2021/10/06,150.0
2021/10/07,151.0
2021/10/08,138.0
2021/10/09,131.0
