Datas,Seine-et-Marne
2021/08/10,484.0
2021/08/11,468.0
2021/08/12,495.0
2021/08/13,385.0
2021/08/14,331.0
2021/08/15,103.0
2021/08/16,578.0
2021/08/17,359.0
2021/08/18,354.0
2021/08/19,342.0
2021/08/20,399.0
2021/08/21,274.0
2021/08/22,73.0
2021/08/23,502.0
2021/08/24,388.0
2021/08/25,332.0
2021/08/26,387.0
2021/08/27,376.0
2021/08/28,219.0
2021/08/29,69.0
2021/08/30,457.0
2021/08/31,309.0
2021/09/01,310.0
2021/09/02,264.0
2021/09/03,306.0
2021/09/04,260.0
2021/09/05,68.0
2021/09/06,308.0
2021/09/07,229.0
2021/09/08,192.0
2021/09/09,196.0
2021/09/10,176.0
2021/09/11,145.0
2021/09/12,41.0
2021/09/13,246.0
2021/09/14,161.0
2021/09/15,180.0
2021/09/16,166.0
2021/09/17,185.0
2021/09/18,145.0
2021/09/19,27.0
2021/09/20,196.0
2021/09/21,137.0
2021/09/22,122.0
2021/09/23,122.0
2021/09/24,119.0
2021/09/25,91.0
2021/09/26,23.0
2021/09/27,127.0
2021/09/28,114.0
2021/09/29,124.0
2021/09/30,110.0
2021/10/01,115.0
2021/10/02,92.0
2021/10/03,17.0
2021/10/04,128.0
2021/10/05,99.0
2021/10/06,111.0
2021/10/07,116.0
2021/10/08,114.0
2021/10/09,96.0
2021/10/10,23.0
2021/10/11,137.0
2021/10/12,142.0
2021/10/13,107.0
2021/10/14,154.0
2021/10/15,77.0
2021/10/16,71.0
2021/10/17,20.0
2021/10/18,144.0
2021/10/19,146.0
2021/10/20,135.0
2021/10/21,152.0
2021/10/22,130.0
2021/10/23,105.0
2021/10/24,10.0
2021/10/25,140.0
2021/10/26,164.0
2021/10/27,129.0
2021/10/28,139.0
2021/10/29,171.0
2021/10/30,143.0
2021/10/31,26.0
2021/11/01,32.0
2021/11/02,266.0
2021/11/03,160.0
2021/11/04,142.0
2021/11/05,178.0
2021/11/06,154.0
2021/11/07,46.0
2021/11/08,232.0
2021/11/09,230.0
2021/11/10,183.0
2021/11/11,63.0
2021/11/12,238.0
2021/11/13,175.0
2021/11/14,52.0
2021/11/15,376.0
2021/11/16,332.0
2021/11/17,312.0
2021/11/18,331.0
2021/11/19,407.0
2021/11/20,296.0
2021/11/21,78.0
2021/11/22,554.0
2021/11/23,530.0
2021/11/24,492.0
2021/11/25,569.0
2021/11/26,549.0
2021/11/27,491.0
2021/11/28,113.0
2021/11/29,967.0
2021/11/30,798.0
2021/12/01,817.0
2021/12/02,887.0
2021/12/03,858.0
2021/12/04,751.0
2021/12/05,160.0
2021/12/06,1246.0
2021/12/07,1057.0
2021/12/08,1046.0
2021/12/09,972.0
2021/12/10,1031.0
2021/12/11,872.0
2021/12/12,183.0
2021/12/13,1585.0
2021/12/14,1287.0
2021/12/15,1353.0
2021/12/16,1405.0
2021/12/17,1408.0
2021/12/18,1177.0
2021/12/19,281.0
2021/12/20,2189.0
2021/12/21,2285.0
2021/12/22,2655.0
2021/12/23,3084.0
2021/12/24,2791.0
2021/12/25,492.0
2021/12/26,1146.0
2021/12/27,7201.0
2021/12/28,7161.0
2021/12/29,7786.0
2021/12/30,7823.0
2021/12/31,6659.0
2022/01/01,972.0
2022/01/02,2338.0
2022/01/03,12747.0
2022/01/04,10159.0
2022/01/05,9295.0
2022/01/06,8788.0
2022/01/07,8286.0
2022/01/08,6579.0
2022/01/09,2863.0
2022/01/10,10930.0
2022/01/11,9101.0
2022/01/12,8666.0
2022/01/13,8113.0
2022/01/14,8167.0
2022/01/15,6602.0
2022/01/16,2908.0
2022/01/17,10568.0
2022/01/18,8504.0
2022/01/19,8131.0
2022/01/20,7376.0
2022/01/21,6761.0
2022/01/22,5448.0
2022/01/23,2165.0
2022/01/24,8906.0
2022/01/25,6126.0
2022/01/26,5601.0
2022/01/27,5187.0
2022/01/28,4891.0
2022/01/29,3768.0
2022/01/30,1393.0
2022/01/31,6137.0
2022/02/01,3981.0
2022/02/02,3877.0
2022/02/03,3268.0
2022/02/04,2922.0
2022/02/05,2288.0
2022/02/06,805.0
2022/02/07,3512.0
2022/02/08,2145.0
2022/02/09,2087.0
2022/02/10,1770.0
2022/02/11,1632.0
2022/02/12,1220.0
2022/02/13,435.0
2022/02/14,1922.0
2022/02/15,1279.0
2022/02/16,1233.0
2022/02/17,1030.0
2022/02/18,984.0
2022/02/19,783.0
2022/02/20,215.0
2022/02/21,954.0
2022/02/22,628.0
2022/02/23,647.0
2022/02/24,661.0
2022/02/25,557.0
2022/02/26,455.0
2022/02/27,166.0
2022/02/28,748.0
2022/03/01,525.0
2022/03/02,543.0
2022/03/03,517.0
2022/03/04,481.0
2022/03/05,479.0
2022/03/06,173.0
2022/03/07,807.0
2022/03/08,624.0
2022/03/09,706.0
2022/03/10,690.0
2022/03/11,763.0
2022/03/12,686.0
2022/03/13,249.0
2022/03/14,1427.0
2022/03/15,1104.0
2022/03/16,1323.0
2022/03/17,1175.0
2022/03/18,1388.0
2022/03/19,1321.0
2022/03/20,423.0
2022/03/21,3075.0
2022/03/22,2474.0
2022/03/23,2677.0
2022/03/24,2671.0
2022/03/25,2674.0
2022/03/26,2211.0
2022/03/27,606.0
2022/03/28,4504.0
2022/03/29,3278.0
2022/03/30,3277.0
2022/03/31,2991.0
2022/04/01,2602.0
2022/04/02,2288.0
2022/04/03,666.0
2022/04/04,4536.0
2022/04/05,3398.0
2022/04/06,3294.0
2022/04/07,3135.0
2022/04/08,2883.0
2022/04/09,2399.0
2022/04/10,599.0
2022/04/11,4264.0
2022/04/12,2947.0
2022/04/13,2971.0
2022/04/14,2701.0
2022/04/15,2332.0
2022/04/16,1860.0
2022/04/17,423.0
2022/04/18,792.0
2022/04/19,3309.0
2022/04/20,2038.0
2022/04/21,1804.0
2022/04/22,1612.0
2022/04/23,1138.0
2022/04/24,234.0
2022/04/25,1711.0
2022/04/26,1241.0
2022/04/27,1023.0
2022/04/28,875.0
2022/04/29,896.0
2022/04/30,661.0
2022/05/01,132.0
2022/05/02,1075.0
2022/05/03,747.0
2022/05/04,704.0
2022/05/05,549.0
2022/05/06,631.0
2022/05/07,519.0
2022/05/08,116.0
2022/05/09,889.0
2022/05/10,624.0
2022/05/11,531.0
2022/05/12,484.0
2022/05/13,451.0
2022/05/14,358.0
2022/05/15,108.0
2022/05/16,684.0
2022/05/17,522.0
2022/05/18,501.0
2022/05/19,462.0
2022/05/20,391.0
2022/05/21,374.0
2022/05/22,76.0
2022/05/23,620.0
2022/05/24,431.0
2022/05/25,433.0
2022/05/26,101.0
2022/05/27,533.0
2022/05/28,374.0
2022/05/29,101.0
2022/05/30,786.0
2022/05/31,538.0
2022/06/01,563.0
2022/06/02,579.0
2022/06/03,598.0
2022/06/04,514.0
2022/06/05,116.0
2022/06/06,383.0
2022/06/07,1330.0
2022/06/08,945.0
2022/06/09,989.0
2022/06/10,983.0
2022/06/11,779.0
2022/06/12,213.0
2022/06/13,1716.0
2022/06/14,1354.0
2022/06/15,1306.0
2022/06/16,1265.0
2022/06/17,1284.0
2022/06/18,1031.0
2022/06/19,319.0
2022/06/20,2525.0
2022/06/21,1926.0
2022/06/22,2050.0
2022/06/23,2146.0
2022/06/24,2090.0
2022/06/25,1612.0
2022/06/26,448.0
2022/06/27,3474.0
2022/06/28,2620.0
2022/06/29,2807.0
2022/06/30,2553.0
2022/07/01,2660.0
2022/07/02,2075.0
2022/07/03,558.0
2022/07/04,4407.0
2022/07/05,3219.0
2022/07/06,3055.0
2022/07/07,2791.0
2022/07/08,2629.0
2022/07/09,2175.0
2022/07/10,550.0
2022/07/11,3478.0
2022/07/12,2285.0
2022/07/13,2083.0
2022/07/14,413.0
2022/07/15,2262.0
2022/07/16,1402.0
2022/07/17,354.0
2022/07/18,2331.0
2022/07/19,1323.0
2022/07/20,1293.0
2022/07/21,1188.0
2022/07/22,1193.0
2022/07/23,857.0
2022/07/24,196.0
2022/07/25,1354.0
