Datas,Corse-du-Sud
2021/06/01,8.0
2021/06/02,9.0
2021/06/03,6.0
2021/06/04,7.0
2021/06/05,5.0
2021/06/06,1.0
2021/06/07,10.0
2021/06/08,7.0
2021/06/09,5.0
2021/06/10,2.0
2021/06/11,2.0
2021/06/12,1.0
2021/06/13,0.0
2021/06/14,2.0
2021/06/15,4.0
2021/06/16,0.0
2021/06/17,0.0
2021/06/18,3.0
2021/06/19,4.0
2021/06/20,1.0
2021/06/21,1.0
2021/06/22,0.0
2021/06/23,1.0
2021/06/24,2.0
2021/06/25,0.0
2021/06/26,0.0
2021/06/27,0.0
2021/06/28,0.0
2021/06/29,3.0
2021/06/30,2.0
2021/07/01,5.0
2021/07/02,2.0
2021/07/03,1.0
2021/07/04,0.0
2021/07/05,6.0
2021/07/06,3.0
2021/07/07,6.0
2021/07/08,2.0
2021/07/09,7.0
2021/07/10,4.0
2021/07/11,0.0
2021/07/12,12.0
2021/07/13,9.0
2021/07/14,2.0
2021/07/15,31.0
2021/07/16,21.0
2021/07/17,15.0
2021/07/18,6.0
2021/07/19,34.0
2021/07/20,53.0
2021/07/21,74.0
2021/07/22,76.0
2021/07/23,89.0
2021/07/24,62.0
2021/07/25,20.0
2021/07/26,145.0
2021/07/27,108.0
2021/07/28,107.0
2021/07/29,120.0
2021/07/30,133.0
2021/07/31,100.0
2021/08/01,30.0
2021/08/02,213.0
2021/08/03,157.0
2021/08/04,172.0
2021/08/05,170.0
2021/08/06,143.0
2021/08/07,135.0
2021/08/08,30.0
2021/08/09,194.0
2021/08/10,169.0
2021/08/11,154.0
2021/08/12,98.0
2021/08/13,133.0
2021/08/14,86.0
2021/08/15,23.0
2021/08/16,151.0
2021/08/17,96.0
2021/08/18,73.0
2021/08/19,101.0
2021/08/20,81.0
2021/08/21,59.0
2021/08/22,13.0
2021/08/23,117.0
2021/08/24,59.0
2021/08/25,57.0
2021/08/26,51.0
2021/08/27,37.0
2021/08/28,28.0
2021/08/29,12.0
2021/08/30,43.0
2021/08/31,27.0
2021/09/01,27.0
2021/09/02,32.0
2021/09/03,30.0
2021/09/04,32.0
2021/09/05,4.0
2021/09/06,40.0
2021/09/07,31.0
2021/09/08,25.0
2021/09/09,28.0
2021/09/10,22.0
2021/09/11,17.0
2021/09/12,6.0
2021/09/13,40.0
2021/09/14,19.0
2021/09/15,18.0
2021/09/16,22.0
2021/09/17,11.0
2021/09/18,12.0
2021/09/19,3.0
2021/09/20,25.0
2021/09/21,15.0
2021/09/22,10.0
2021/09/23,20.0
2021/09/24,10.0
2021/09/25,18.0
2021/09/26,3.0
2021/09/27,18.0
2021/09/28,16.0
2021/09/29,14.0
2021/09/30,13.0
2021/10/01,22.0
2021/10/02,14.0
2021/10/03,6.0
2021/10/04,36.0
2021/10/05,18.0
2021/10/06,23.0
2021/10/07,26.0
2021/10/08,16.0
2021/10/09,18.0
2021/10/10,2.0
2021/10/11,26.0
2021/10/12,25.0
2021/10/13,16.0
2021/10/14,16.0
2021/10/15,20.0
2021/10/16,8.0
2021/10/17,3.0
2021/10/18,19.0
2021/10/19,12.0
2021/10/20,14.0
2021/10/21,9.0
2021/10/22,17.0
2021/10/23,18.0
2021/10/24,10.0
2021/10/25,27.0
2021/10/26,28.0
2021/10/27,12.0
2021/10/28,16.0
2021/10/29,19.0
2021/10/30,14.0
2021/10/31,6.0
2021/11/01,8.0
2021/11/02,59.0
2021/11/03,19.0
2021/11/04,26.0
2021/11/05,30.0
2021/11/06,20.0
2021/11/07,7.0
2021/11/08,67.0
2021/11/09,32.0
2021/11/10,43.0
2021/11/11,9.0
2021/11/12,67.0
2021/11/13,35.0
2021/11/14,15.0
2021/11/15,83.0
2021/11/16,73.0
2021/11/17,58.0
2021/11/18,57.0
2021/11/19,76.0
2021/11/20,45.0
2021/11/21,22.0
2021/11/22,102.0
2021/11/23,73.0
2021/11/24,93.0
2021/11/25,87.0
2021/11/26,77.0
2021/11/27,79.0
2021/11/28,24.0
2021/11/29,154.0
2021/11/30,91.0
2021/12/01,82.0
2021/12/02,82.0
2021/12/03,101.0
2021/12/04,86.0
2021/12/05,27.0
2021/12/06,180.0
2021/12/07,150.0
2021/12/08,180.0
2021/12/09,124.0
2021/12/10,170.0
2021/12/11,107.0
2021/12/12,40.0
2021/12/13,237.0
2021/12/14,156.0
2021/12/15,184.0
2021/12/16,155.0
2021/12/17,201.0
2021/12/18,138.0
2021/12/19,52.0
2021/12/20,272.0
2021/12/21,289.0
2021/12/22,308.0
2021/12/23,328.0
2021/12/24,321.0
2021/12/25,87.0
2021/12/26,142.0
2021/12/27,846.0
2021/12/28,681.0
2021/12/29,583.0
2021/12/30,562.0
2021/12/31,551.0
2022/01/01,149.0
2022/01/02,248.0
2022/01/03,1161.0
2022/01/04,708.0
2022/01/05,617.0
2022/01/06,569.0
2022/01/07,561.0
2022/01/08,395.0
2022/01/09,182.0
2022/01/10,915.0
2022/01/11,633.0
2022/01/12,664.0
2022/01/13,583.0
2022/01/14,647.0
2022/01/15,471.0
2022/01/16,198.0
2022/01/17,1185.0
2022/01/18,824.0
2022/01/19,790.0
2022/01/20,735.0
2022/01/21,741.0
2022/01/22,514.0
2022/01/23,242.0
2022/01/24,1141.0
2022/01/25,689.0
2022/01/26,660.0
2022/01/27,675.0
2022/01/28,624.0
2022/01/29,522.0
2022/01/30,193.0
2022/01/31,930.0
2022/02/01,583.0
2022/02/02,614.0
2022/02/03,511.0
2022/02/04,482.0
2022/02/05,394.0
2022/02/06,184.0
2022/02/07,662.0
2022/02/08,420.0
2022/02/09,401.0
2022/02/10,300.0
2022/02/11,342.0
2022/02/12,211.0
2022/02/13,104.0
2022/02/14,484.0
2022/02/15,253.0
2022/02/16,224.0
2022/02/17,234.0
2022/02/18,204.0
2022/02/19,170.0
2022/02/20,62.0
2022/02/21,263.0
2022/02/22,177.0
2022/02/23,148.0
2022/02/24,131.0
2022/02/25,124.0
2022/02/26,93.0
2022/02/27,58.0
2022/02/28,164.0
2022/03/01,111.0
2022/03/02,130.0
2022/03/03,118.0
2022/03/04,108.0
2022/03/05,89.0
2022/03/06,36.0
2022/03/07,163.0
2022/03/08,131.0
2022/03/09,145.0
2022/03/10,144.0
2022/03/11,170.0
2022/03/12,153.0
2022/03/13,57.0
2022/03/14,378.0
2022/03/15,294.0
2022/03/16,291.0
2022/03/17,308.0
2022/03/18,275.0
2022/03/19,314.0
2022/03/20,152.0
2022/03/21,666.0
2022/03/22,416.0
2022/03/23,424.0
2022/03/24,447.0
2022/03/25,449.0
2022/03/26,334.0
2022/03/27,128.0
2022/03/28,738.0
2022/03/29,538.0
2022/03/30,572.0
2022/03/31,509.0
2022/04/01,508.0
2022/04/02,349.0
2022/04/03,137.0
2022/04/04,800.0
2022/04/05,516.0
2022/04/06,486.0
2022/04/07,472.0
2022/04/08,416.0
2022/04/09,338.0
2022/04/10,127.0
2022/04/11,627.0
2022/04/12,469.0
2022/04/13,424.0
2022/04/14,404.0
2022/04/15,381.0
2022/04/16,278.0
2022/04/17,103.0
2022/04/18,136.0
2022/04/19,695.0
2022/04/20,328.0
2022/04/21,307.0
2022/04/22,217.0
2022/04/23,183.0
2022/04/24,53.0
2022/04/25,377.0
2022/04/26,208.0
2022/04/27,201.0
2022/04/28,171.0
2022/04/29,132.0
2022/04/30,107.0
2022/05/01,18.0
2022/05/02,183.0
2022/05/03,91.0
2022/05/04,139.0
2022/05/05,80.0
2022/05/06,101.0
2022/05/07,60.0
2022/05/08,20.0
2022/05/09,146.0
2022/05/10,121.0
2022/05/11,80.0
2022/05/12,77.0
2022/05/13,59.0
2022/05/14,64.0
2022/05/15,16.0
2022/05/16,87.0
2022/05/17,62.0
2022/05/18,77.0
2022/05/19,63.0
2022/05/20,66.0
2022/05/21,57.0
2022/05/22,21.0
2022/05/23,90.0
2022/05/24,42.0
2022/05/25,49.0
2022/05/26,14.0
2022/05/27,75.0
2022/05/28,38.0
2022/05/29,11.0
2022/05/30,83.0
2022/05/31,57.0
2022/06/01,51.0
2022/06/02,54.0
2022/06/03,49.0
2022/06/04,36.0
2022/06/05,9.0
2022/06/06,26.0
2022/06/07,105.0
2022/06/08,83.0
2022/06/09,63.0
2022/06/10,55.0
2022/06/11,53.0
2022/06/12,18.0
2022/06/13,110.0
2022/06/14,88.0
2022/06/15,113.0
2022/06/16,84.0
2022/06/17,105.0
2022/06/18,84.0
2022/06/19,29.0
2022/06/20,197.0
2022/06/21,137.0
2022/06/22,150.0
2022/06/23,177.0
2022/06/24,188.0
2022/06/25,159.0
2022/06/26,63.0
2022/06/27,381.0
2022/06/28,287.0
2022/06/29,323.0
2022/06/30,279.0
2022/07/01,309.0
2022/07/02,235.0
2022/07/03,72.0
2022/07/04,539.0
2022/07/05,312.0
2022/07/06,388.0
2022/07/07,313.0
2022/07/08,330.0
2022/07/09,203.0
2022/07/10,93.0
2022/07/11,490.0
2022/07/12,316.0
2022/07/13,351.0
2022/07/14,100.0
2022/07/15,363.0
2022/07/16,162.0
2022/07/17,84.0
2022/07/18,446.0
2022/07/19,253.0
2022/07/20,240.0
2022/07/21,204.0
2022/07/22,226.0
2022/07/23,134.0
2022/07/24,46.0
2022/07/25,319.0
2022/07/26,205.0
2022/07/27,160.0
2022/07/28,184.0
2022/07/29,175.0
2022/07/30,117.0
2022/07/31,46.0
2022/08/01,251.0
2022/08/02,164.0
2022/08/03,151.0
2022/08/04,148.0
2022/08/05,114.0
2022/08/06,101.0
2022/08/07,36.0
2022/08/08,207.0
2022/08/09,138.0
2022/08/10,120.0
2022/08/11,97.0
2022/08/12,115.0
2022/08/13,95.0
2022/08/14,24.0
2022/08/15,49.0
2022/08/16,132.0
2022/08/17,89.0
2022/08/18,74.0
2022/08/19,84.0
2022/08/20,55.0
2022/08/21,31.0
2022/08/22,132.0
2022/08/23,68.0
2022/08/24,70.0
2022/08/25,71.0
2022/08/26,88.0
2022/08/27,35.0
2022/08/28,15.0
2022/08/29,70.0
2022/08/30,51.0
2022/08/31,56.0
2022/09/01,54.0
2022/09/02,49.0
2022/09/03,33.0
2022/09/04,11.0
2022/09/05,89.0
2022/09/06,43.0
2022/09/07,40.0
2022/09/08,48.0
2022/09/09,33.0
2022/09/10,28.0
2022/09/11,16.0
2022/09/12,73.0
2022/09/13,49.0
2022/09/14,75.0
2022/09/15,52.0
2022/09/16,39.0
2022/09/17,41.0
2022/09/18,9.0
2022/09/19,81.0
2022/09/20,52.0
2022/09/21,48.0
2022/09/22,54.0
2022/09/23,54.0
2022/09/24,33.0
2022/09/25,14.0
2022/09/26,96.0
2022/09/27,68.0
2022/09/28,52.0
2022/09/29,73.0
2022/09/30,84.0
2022/10/01,54.0
2022/10/02,24.0
2022/10/03,181.0
2022/10/04,113.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
