Datas,Réunion
2021/06/02,218.0
2021/06/03,224.0
2021/06/04,231.0
2021/06/05,123.0
2021/06/06,69.0
2021/06/07,244.0
2021/06/08,182.0
2021/06/09,177.0
2021/06/10,184.0
2021/06/11,198.0
2021/06/12,108.0
2021/06/13,53.0
2021/06/14,199.0
2021/06/15,197.0
2021/06/16,173.0
2021/06/17,194.0
2021/06/18,178.0
2021/06/19,100.0
2021/06/20,28.0
2021/06/21,218.0
2021/06/22,185.0
2021/06/23,204.0
2021/06/24,216.0
2021/06/25,223.0
2021/06/26,105.0
2021/06/27,60.0
2021/06/28,235.0
2021/06/29,209.0
2021/06/30,242.0
2021/07/01,226.0
2021/07/02,216.0
2021/07/03,164.0
2021/07/04,71.0
2021/07/05,291.0
2021/07/06,240.0
2021/07/07,255.0
2021/07/08,234.0
2021/07/09,212.0
2021/07/10,148.0
2021/07/11,63.0
2021/07/12,299.0
2021/07/13,259.0
2021/07/14,98.0
2021/07/15,310.0
2021/07/16,367.0
2021/07/17,222.0
2021/07/18,130.0
2021/07/19,477.0
2021/07/20,473.0
2021/07/21,486.0
2021/07/22,440.0
2021/07/23,478.0
2021/07/24,269.0
2021/07/25,162.0
2021/07/26,670.0
2021/07/27,520.0
2021/07/28,538.0
2021/07/29,537.0
2021/07/30,571.0
2021/07/31,414.0
2021/08/01,157.0
2021/08/02,791.0
2021/08/03,629.0
2021/08/04,575.0
2021/08/05,482.0
2021/08/06,504.0
2021/08/07,328.0
2021/08/08,113.0
2021/08/09,685.0
2021/08/10,528.0
2021/08/11,458.0
2021/08/12,393.0
2021/08/13,395.0
2021/08/14,228.0
2021/08/15,114.0
2021/08/16,423.0
2021/08/17,353.0
2021/08/18,304.0
2021/08/19,248.0
2021/08/20,256.0
2021/08/21,212.0
2021/08/22,110.0
2021/08/23,363.0
2021/08/24,293.0
2021/08/25,267.0
2021/08/26,223.0
2021/08/27,249.0
2021/08/28,145.0
2021/08/29,53.0
2021/08/30,283.0
2021/08/31,243.0
2021/09/01,205.0
2021/09/02,203.0
2021/09/03,242.0
2021/09/04,144.0
2021/09/05,55.0
2021/09/06,222.0
2021/09/07,144.0
2021/09/08,152.0
2021/09/09,92.0
2021/09/10,124.0
2021/09/11,76.0
2021/09/12,23.0
2021/09/13,151.0
2021/09/14,97.0
2021/09/15,75.0
2021/09/16,91.0
2021/09/17,94.0
2021/09/18,57.0
2021/09/19,26.0
2021/09/20,110.0
2021/09/21,70.0
2021/09/22,53.0
2021/09/23,61.0
2021/09/24,66.0
2021/09/25,30.0
2021/09/26,28.0
2021/09/27,54.0
2021/09/28,53.0
2021/09/29,36.0
2021/09/30,52.0
2021/10/01,40.0
2021/10/02,31.0
2021/10/03,15.0
2021/10/04,56.0
2021/10/05,29.0
2021/10/06,47.0
2021/10/07,37.0
2021/10/08,33.0
2021/10/09,29.0
2021/10/10,13.0
2021/10/11,52.0
2021/10/12,37.0
2021/10/13,41.0
2021/10/14,45.0
2021/10/15,38.0
2021/10/16,22.0
2021/10/17,13.0
2021/10/18,60.0
2021/10/19,29.0
2021/10/20,31.0
2021/10/21,34.0
2021/10/22,50.0
2021/10/23,58.0
2021/10/24,24.0
2021/10/25,91.0
2021/10/26,79.0
2021/10/27,97.0
2021/10/28,61.0
2021/10/29,93.0
2021/10/30,78.0
2021/10/31,23.0
2021/11/01,26.0
2021/11/02,167.0
2021/11/03,140.0
2021/11/04,178.0
2021/11/05,195.0
2021/11/06,140.0
2021/11/07,50.0
2021/11/08,311.0
2021/11/09,247.0
2021/11/10,264.0
2021/11/11,68.0
2021/11/12,335.0
2021/11/13,208.0
2021/11/14,63.0
2021/11/15,390.0
2021/11/16,349.0
2021/11/17,292.0
2021/11/18,295.0
2021/11/19,323.0
2021/11/20,198.0
2021/11/21,84.0
2021/11/22,464.0
2021/11/23,364.0
2021/11/24,368.0
2021/11/25,318.0
2021/11/26,371.0
2021/11/27,241.0
2021/11/28,77.0
2021/11/29,510.0
2021/11/30,427.0
2021/12/01,427.0
2021/12/02,452.0
2021/12/03,478.0
2021/12/04,288.0
2021/12/05,108.0
2021/12/06,587.0
2021/12/07,570.0
2021/12/08,494.0
2021/12/09,603.0
2021/12/10,648.0
2021/12/11,374.0
2021/12/12,125.0
2021/12/13,1017.0
2021/12/14,747.0
2021/12/15,827.0
2021/12/16,789.0
2021/12/17,782.0
2021/12/18,592.0
2021/12/19,247.0
2021/12/20,295.0
2021/12/21,1367.0
