Datas,Orne
2022/03/09,328.0
2022/03/10,349.0
2022/03/11,370.0
2022/03/12,307.0
2022/03/13,65.0
2022/03/14,604.0
2022/03/15,412.0
2022/03/16,458.0
2022/03/17,499.0
2022/03/18,488.0
2022/03/19,391.0
2022/03/20,84.0
2022/03/21,928.0
2022/03/22,700.0
2022/03/23,676.0
2022/03/24,673.0
2022/03/25,627.0
2022/03/26,444.0
2022/03/27,86.0
2022/03/28,1060.0
2022/03/29,765.0
2022/03/30,762.0
2022/03/31,687.0
2022/04/01,600.0
2022/04/02,412.0
2022/04/03,104.0
2022/04/04,1102.0
2022/04/05,761.0
2022/04/06,801.0
2022/04/07,781.0
2022/04/08,727.0
2022/04/09,489.0
2022/04/10,81.0
2022/04/11,926.0
2022/04/12,610.0
2022/04/13,552.0
2022/04/14,519.0
2022/04/15,541.0
2022/04/16,321.0
2022/04/17,64.0
2022/04/18,73.0
2022/04/19,675.0
2022/04/20,414.0
2022/04/21,404.0
2022/04/22,321.0
2022/04/23,233.0
2022/04/24,39.0
2022/04/25,434.0
2022/04/26,258.0
2022/04/27,246.0
2022/04/28,228.0
2022/04/29,181.0
2022/04/30,152.0
2022/05/01,31.0
2022/05/02,291.0
2022/05/03,192.0
2022/05/04,180.0
2022/05/05,192.0
2022/05/06,152.0
2022/05/07,114.0
2022/05/08,20.0
2022/05/09,238.0
2022/05/10,174.0
2022/05/11,137.0
2022/05/12,139.0
2022/05/13,117.0
2022/05/14,57.0
2022/05/15,19.0
2022/05/16,164.0
2022/05/17,111.0
2022/05/18,102.0
2022/05/19,60.0
2022/05/20,94.0
2022/05/21,46.0
2022/05/22,6.0
2022/05/23,103.0
2022/05/24,69.0
2022/05/25,76.0
2022/05/26,11.0
2022/05/27,92.0
2022/05/28,43.0
2022/05/29,10.0
2022/05/30,129.0
2022/05/31,78.0
2022/06/01,88.0
2022/06/02,76.0
2022/06/03,67.0
2022/06/04,39.0
2022/06/05,8.0
2022/06/06,28.0
2022/06/07,151.0
2022/06/08,116.0
2022/06/09,100.0
2022/06/10,109.0
2022/06/11,87.0
2022/06/12,9.0
2022/06/13,172.0
2022/06/14,115.0
2022/06/15,121.0
2022/06/16,128.0
2022/06/17,132.0
2022/06/18,101.0
2022/06/19,22.0
2022/06/20,253.0
2022/06/21,202.0
2022/06/22,236.0
2022/06/23,243.0
2022/06/24,223.0
2022/06/25,174.0
2022/06/26,28.0
2022/06/27,404.0
2022/06/28,338.0
2022/06/29,348.0
2022/06/30,327.0
2022/07/01,331.0
2022/07/02,289.0
2022/07/03,34.0
2022/07/04,692.0
2022/07/05,450.0
2022/07/06,476.0
2022/07/07,457.0
2022/07/08,387.0
2022/07/09,296.0
2022/07/10,54.0
2022/07/11,649.0
2022/07/12,378.0
2022/07/13,379.0
2022/07/14,45.0
2022/07/15,388.0
2022/07/16,235.0
2022/07/17,43.0
2022/07/18,457.0
2022/07/19,302.0
2022/07/20,270.0
2022/07/21,233.0
2022/07/22,241.0
2022/07/23,127.0
2022/07/24,28.0
2022/07/25,244.0
2022/07/26,166.0
2022/07/27,171.0
2022/07/28,145.0
2022/07/29,125.0
2022/07/30,78.0
2022/07/31,15.0
2022/08/01,178.0
2022/08/02,118.0
2022/08/03,122.0
2022/08/04,107.0
2022/08/05,90.0
2022/08/06,50.0
2022/08/07,17.0
2022/08/08,131.0
2022/08/09,83.0
2022/08/10,76.0
2022/08/11,77.0
2022/08/12,62.0
2022/08/13,43.0
2022/08/14,12.0
2022/08/15,5.0
2022/08/16,99.0
2022/08/17,75.0
2022/08/18,51.0
2022/08/19,51.0
2022/08/20,39.0
2022/08/21,11.0
2022/08/22,94.0
2022/08/23,62.0
2022/08/24,60.0
2022/08/25,48.0
2022/08/26,55.0
2022/08/27,37.0
2022/08/28,5.0
2022/08/29,68.0
2022/08/30,41.0
2022/08/31,49.0
2022/09/01,33.0
2022/09/02,48.0
2022/09/03,32.0
2022/09/04,17.0
2022/09/05,91.0
2022/09/06,69.0
2022/09/07,84.0
2022/09/08,68.0
2022/09/09,73.0
2022/09/10,67.0
2022/09/11,18.0
2022/09/12,216.0
2022/09/13,177.0
2022/09/14,148.0
2022/09/15,162.0
2022/09/16,176.0
2022/09/17,104.0
2022/09/18,17.0
2022/09/19,240.0
2022/09/20,192.0
2022/09/21,212.0
2022/09/22,165.0
2022/09/23,207.0
2022/09/24,112.0
2022/09/25,38.0
2022/09/26,333.0
2022/09/27,255.0
2022/09/28,240.0
2022/09/29,234.0
2022/09/30,238.0
2022/10/01,160.0
2022/10/02,21.0
2022/10/03,431.0
2022/10/04,282.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
