Datas,Bas-Rhin
2021/10/16,45.0
2021/10/17,15.0
2021/10/18,111.0
2021/10/19,85.0
2021/10/20,88.0
2021/10/21,95.0
2021/10/22,119.0
2021/10/23,76.0
2021/10/24,21.0
2021/10/25,142.0
2021/10/26,111.0
2021/10/27,98.0
2021/10/28,101.0
2021/10/29,121.0
2021/10/30,111.0
2021/10/31,23.0
2021/11/01,29.0
2021/11/02,247.0
2021/11/03,160.0
2021/11/04,202.0
2021/11/05,163.0
2021/11/06,134.0
2021/11/07,50.0
2021/11/08,338.0
2021/11/09,238.0
2021/11/10,274.0
2021/11/11,36.0
2021/11/12,353.0
2021/11/13,235.0
2021/11/14,64.0
2021/11/15,501.0
2021/11/16,390.0
2021/11/17,418.0
2021/11/18,479.0
2021/11/19,531.0
2021/11/20,392.0
2021/11/21,75.0
2021/11/22,806.0
2021/11/23,667.0
2021/11/24,737.0
2021/11/25,791.0
2021/11/26,823.0
2021/11/27,579.0
2021/11/28,147.0
2021/11/29,1400.0
2021/11/30,1113.0
2021/12/01,1146.0
2021/12/02,1140.0
2021/12/03,1147.0
2021/12/04,774.0
2021/12/05,161.0
2021/12/06,1645.0
2021/12/07,1419.0
2021/12/08,1335.0
2021/12/09,1168.0
2021/12/10,1136.0
2021/12/11,742.0
2021/12/12,178.0
2021/12/13,1650.0
2021/12/14,1206.0
2021/12/15,1208.0
2021/12/16,1122.0
2021/12/17,1082.0
2021/12/18,865.0
2021/12/19,192.0
2021/12/20,1862.0
2021/12/21,1472.0
2021/12/22,1674.0
2021/12/23,1907.0
2021/12/24,1534.0
2021/12/25,247.0
2021/12/26,514.0
2021/12/27,4609.0
2021/12/28,3902.0
2021/12/29,4027.0
2021/12/30,4403.0
2021/12/31,3465.0
2022/01/01,401.0
2022/01/02,1111.0
2022/01/03,8746.0
2022/01/04,6635.0
2022/01/05,5563.0
2022/01/06,5057.0
2022/01/07,4576.0
2022/01/08,3301.0
2022/01/09,1096.0
2022/01/10,7406.0
2022/01/11,5182.0
2022/01/12,5561.0
2022/01/13,5052.0
2022/01/14,5423.0
2022/01/15,3995.0
2022/01/16,1640.0
2022/01/17,9501.0
2022/01/18,7209.0
2022/01/19,7291.0
2022/01/20,6992.0
2022/01/21,6745.0
2022/01/22,4916.0
2022/01/23,1700.0
2022/01/24,10384.0
2022/01/25,6929.0
2022/01/26,6510.0
2022/01/27,5704.0
2022/01/28,5441.0
2022/01/29,3984.0
2022/01/30,1300.0
2022/01/31,7766.0
2022/02/01,4870.0
2022/02/02,4658.0
2022/02/03,4137.0
2022/02/04,3611.0
2022/02/05,2558.0
2022/02/06,712.0
2022/02/07,4229.0
2022/02/08,2716.0
2022/02/09,2557.0
2022/02/10,2275.0
2022/02/11,2200.0
2022/02/12,1644.0
2022/02/13,454.0
2022/02/14,2905.0
2022/02/15,1715.0
2022/02/16,1714.0
2022/02/17,1608.0
2022/02/18,1519.0
2022/02/19,1223.0
2022/02/20,357.0
2022/02/21,2233.0
2022/02/22,1256.0
2022/02/23,1293.0
2022/02/24,1159.0
2022/02/25,1061.0
2022/02/26,867.0
2022/02/27,220.0
2022/02/28,1798.0
2022/03/01,1189.0
2022/03/02,1316.0
2022/03/03,1272.0
2022/03/04,1186.0
2022/03/05,1003.0
2022/03/06,260.0
2022/03/07,2366.0
2022/03/08,1597.0
2022/03/09,1867.0
2022/03/10,1812.0
2022/03/11,1979.0
2022/03/12,1542.0
2022/03/13,395.0
2022/03/14,3641.0
2022/03/15,2421.0
2022/03/16,2568.0
2022/03/17,2502.0
2022/03/18,2529.0
2022/03/19,2074.0
2022/03/20,507.0
2022/03/21,4965.0
2022/03/22,3426.0
2022/03/23,3603.0
2022/03/24,3205.0
2022/03/25,3152.0
2022/03/26,2386.0
2022/03/27,547.0
2022/03/28,5240.0
2022/03/29,3457.0
2022/03/30,3318.0
2022/03/31,2815.0
2022/04/01,2620.0
2022/04/02,1944.0
2022/04/03,410.0
2022/04/04,4280.0
2022/04/05,2838.0
2022/04/06,2897.0
2022/04/07,2613.0
2022/04/08,2582.0
2022/04/09,1762.0
2022/04/10,360.0
2022/04/11,3754.0
2022/04/12,2346.0
2022/04/13,2157.0
2022/04/14,2304.0
2022/04/15,339.0
2022/04/16,2335.0
2022/04/17,287.0
2022/04/18,296.0
2022/04/19,3185.0
2022/04/20,1745.0
2022/04/21,1493.0
2022/04/22,1417.0
2022/04/23,1091.0
2022/04/24,229.0
2022/04/25,2027.0
2022/04/26,1166.0
2022/04/27,1065.0
2022/04/28,1027.0
2022/04/29,857.0
2022/04/30,632.0
2022/05/01,103.0
2022/05/02,1415.0
2022/05/03,883.0
2022/05/04,837.0
2022/05/05,766.0
2022/05/06,703.0
2022/05/07,525.0
2022/05/08,86.0
2022/05/09,1143.0
2022/05/10,629.0
2022/05/11,581.0
2022/05/12,543.0
2022/05/13,522.0
2022/05/14,372.0
2022/05/15,85.0
2022/05/16,667.0
2022/05/17,400.0
2022/05/18,407.0
2022/05/19,331.0
2022/05/20,315.0
2022/05/21,205.0
2022/05/22,51.0
2022/05/23,486.0
2022/05/24,289.0
2022/05/25,234.0
2022/05/26,52.0
2022/05/27,344.0
2022/05/28,192.0
2022/05/29,43.0
2022/05/30,453.0
2022/05/31,344.0
2022/06/01,312.0
2022/06/02,324.0
2022/06/03,351.0
2022/06/04,275.0
2022/06/05,107.0
2022/06/06,95.0
2022/06/07,887.0
2022/06/08,473.0
2022/06/09,495.0
2022/06/10,456.0
2022/06/11,370.0
2022/06/12,75.0
2022/06/13,945.0
2022/06/14,655.0
2022/06/15,655.0
2022/06/16,618.0
2022/06/17,629.0
2022/06/18,559.0
2022/06/19,105.0
2022/06/20,1267.0
2022/06/21,967.0
2022/06/22,1035.0
2022/06/23,940.0
2022/06/24,980.0
2022/06/25,817.0
2022/06/26,181.0
2022/06/27,1948.0
2022/06/28,1616.0
2022/06/29,1659.0
2022/06/30,1537.0
