Datas,Meuse
2021/08/27,27.0
2021/08/28,10.0
2021/08/29,0.0
2021/08/30,33.0
2021/08/31,28.0
2021/09/01,16.0
2021/09/02,15.0
2021/09/03,24.0
2021/09/04,24.0
2021/09/05,4.0
2021/09/06,25.0
2021/09/07,9.0
2021/09/08,12.0
2021/09/09,9.0
2021/09/10,19.0
2021/09/11,12.0
2021/09/12,4.0
2021/09/13,18.0
2021/09/14,11.0
2021/09/15,5.0
2021/09/16,8.0
2021/09/17,10.0
2021/09/18,10.0
2021/09/19,2.0
2021/09/20,8.0
2021/09/21,12.0
2021/09/22,3.0
2021/09/23,3.0
2021/09/24,9.0
2021/09/25,7.0
2021/09/26,1.0
2021/09/27,6.0
2021/09/28,12.0
2021/09/29,5.0
2021/09/30,7.0
2021/10/01,3.0
2021/10/02,0.0
2021/10/03,1.0
2021/10/04,3.0
2021/10/05,2.0
2021/10/06,0.0
2021/10/07,4.0
2021/10/08,6.0
2021/10/09,8.0
2021/10/10,0.0
2021/10/11,12.0
2021/10/12,17.0
2021/10/13,12.0
2021/10/14,6.0
2021/10/15,5.0
2021/10/16,5.0
2021/10/17,0.0
2021/10/18,8.0
2021/10/19,10.0
2021/10/20,4.0
2021/10/21,6.0
2021/10/22,8.0
2021/10/23,8.0
2021/10/24,4.0
2021/10/25,14.0
2021/10/26,17.0
2021/10/27,8.0
2021/10/28,15.0
2021/10/29,15.0
2021/10/30,9.0
2021/10/31,0.0
2021/11/01,4.0
2021/11/02,26.0
2021/11/03,14.0
2021/11/04,8.0
2021/11/05,27.0
2021/11/06,9.0
2021/11/07,4.0
2021/11/08,36.0
2021/11/09,19.0
2021/11/10,20.0
2021/11/11,2.0
2021/11/12,19.0
2021/11/13,18.0
2021/11/14,1.0
2021/11/15,52.0
2021/11/16,45.0
2021/11/17,41.0
2021/11/18,36.0
2021/11/19,48.0
2021/11/20,30.0
2021/11/21,10.0
2021/11/22,90.0
2021/11/23,57.0
2021/11/24,83.0
2021/11/25,69.0
2021/11/26,81.0
2021/11/27,60.0
2021/11/28,8.0
2021/11/29,103.0
2021/11/30,75.0
2021/12/01,75.0
2021/12/02,80.0
2021/12/03,87.0
2021/12/04,59.0
2021/12/05,4.0
2021/12/06,146.0
2021/12/07,95.0
2021/12/08,85.0
2021/12/09,87.0
2021/12/10,88.0
2021/12/11,67.0
2021/12/12,9.0
2021/12/13,155.0
2021/12/14,75.0
2021/12/15,93.0
2021/12/16,84.0
2021/12/17,93.0
2021/12/18,57.0
2021/12/19,7.0
2021/12/20,132.0
2021/12/21,101.0
2021/12/22,99.0
2021/12/23,117.0
2021/12/24,105.0
2021/12/25,15.0
2021/12/26,24.0
2021/12/27,237.0
2021/12/28,258.0
2021/12/29,342.0
2021/12/30,327.0
2021/12/31,269.0
2022/01/01,11.0
2022/01/02,74.0
2022/01/03,830.0
