Datas,Vaucluse
2021/06/08,30.0
2021/06/09,19.0
2021/06/10,15.0
2021/06/11,17.0
2021/06/12,10.0
2021/06/13,1.0
2021/06/14,12.0
2021/06/15,6.0
2021/06/16,11.0
2021/06/17,7.0
2021/06/18,17.0
2021/06/19,11.0
2021/06/20,0.0
2021/06/21,10.0
2021/06/22,3.0
2021/06/23,10.0
2021/06/24,9.0
2021/06/25,15.0
2021/06/26,10.0
2021/06/27,6.0
2021/06/28,6.0
2021/06/29,9.0
2021/06/30,15.0
2021/07/01,17.0
2021/07/02,9.0
2021/07/03,14.0
2021/07/04,3.0
2021/07/05,25.0
2021/07/06,17.0
2021/07/07,11.0
2021/07/08,24.0
2021/07/09,32.0
2021/07/10,18.0
2021/07/11,13.0
2021/07/12,50.0
2021/07/13,66.0
2021/07/14,25.0
2021/07/15,116.0
2021/07/16,109.0
2021/07/17,72.0
2021/07/18,23.0
2021/07/19,210.0
2021/07/20,206.0
2021/07/21,235.0
2021/07/22,229.0
2021/07/23,249.0
2021/07/24,196.0
2021/07/25,59.0
2021/07/26,506.0
2021/07/27,360.0
2021/07/28,334.0
2021/07/29,380.0
2021/07/30,393.0
2021/07/31,264.0
2021/08/01,52.0
2021/08/02,568.0
2021/08/03,401.0
2021/08/04,439.0
2021/08/05,409.0
2021/08/06,419.0
2021/08/07,261.0
2021/08/08,67.0
2021/08/09,615.0
2021/08/10,477.0
2021/08/11,411.0
2021/08/12,452.0
2021/08/13,414.0
2021/08/14,300.0
2021/08/15,51.0
2021/08/16,616.0
2021/08/17,462.0
2021/08/18,466.0
2021/08/19,399.0
2021/08/20,443.0
2021/08/21,260.0
2021/08/22,66.0
2021/08/23,538.0
2021/08/24,375.0
2021/08/25,333.0
2021/08/26,275.0
2021/08/27,305.0
2021/08/28,177.0
2021/08/29,39.0
2021/08/30,396.0
2021/08/31,283.0
2021/09/01,268.0
2021/09/02,221.0
2021/09/03,192.0
2021/09/04,122.0
2021/09/05,16.0
2021/09/06,240.0
2021/09/07,155.0
2021/09/08,186.0
2021/09/09,145.0
2021/09/10,121.0
2021/09/11,80.0
2021/09/12,21.0
2021/09/13,164.0
2021/09/14,125.0
2021/09/15,107.0
2021/09/16,93.0
2021/09/17,109.0
2021/09/18,66.0
2021/09/19,9.0
2021/09/20,111.0
2021/09/21,70.0
2021/09/22,64.0
2021/09/23,46.0
2021/09/24,71.0
2021/09/25,37.0
2021/09/26,8.0
2021/09/27,108.0
2021/09/28,51.0
2021/09/29,64.0
2021/09/30,54.0
2021/10/01,68.0
2021/10/02,37.0
2021/10/03,10.0
2021/10/04,90.0
2021/10/05,32.0
2021/10/06,37.0
2021/10/07,46.0
2021/10/08,42.0
2021/10/09,24.0
2021/10/10,4.0
2021/10/11,54.0
2021/10/12,39.0
2021/10/13,34.0
2021/10/14,36.0
2021/10/15,23.0
2021/10/16,35.0
2021/10/17,4.0
2021/10/18,61.0
2021/10/19,54.0
2021/10/20,37.0
2021/10/21,41.0
2021/10/22,62.0
2021/10/23,31.0
2021/10/24,6.0
2021/10/25,42.0
2021/10/26,47.0
2021/10/27,60.0
2021/10/28,50.0
2021/10/29,62.0
2021/10/30,48.0
2021/10/31,9.0
2021/11/01,12.0
2021/11/02,90.0
2021/11/03,69.0
2021/11/04,67.0
2021/11/05,68.0
2021/11/06,85.0
2021/11/07,13.0
2021/11/08,127.0
2021/11/09,93.0
2021/11/10,109.0
2021/11/11,24.0
2021/11/12,127.0
2021/11/13,96.0
2021/11/14,16.0
2021/11/15,242.0
2021/11/16,177.0
2021/11/17,177.0
2021/11/18,187.0
2021/11/19,214.0
2021/11/20,118.0
2021/11/21,24.0
2021/11/22,349.0
2021/11/23,301.0
2021/11/24,322.0
2021/11/25,338.0
2021/11/26,384.0
2021/11/27,283.0
2021/11/28,44.0
2021/11/29,665.0
2021/11/30,518.0
2021/12/01,543.0
2021/12/02,553.0
2021/12/03,595.0
2021/12/04,408.0
2021/12/05,116.0
2021/12/06,996.0
2021/12/07,762.0
2021/12/08,785.0
2021/12/09,802.0
2021/12/10,734.0
2021/12/11,565.0
2021/12/12,102.0
2021/12/13,1213.0
2021/12/14,831.0
2021/12/15,815.0
2021/12/16,806.0
2021/12/17,776.0
2021/12/18,502.0
2021/12/19,131.0
2021/12/20,1084.0
2021/12/21,825.0
2021/12/22,867.0
2021/12/23,934.0
2021/12/24,843.0
2021/12/25,129.0
2021/12/26,166.0
2021/12/27,1780.0
2021/12/28,1370.0
2021/12/29,1304.0
2021/12/30,1576.0
2021/12/31,1375.0
2022/01/01,143.0
2022/01/02,292.0
2022/01/03,3102.0
2022/01/04,2018.0
2022/01/05,1813.0
2022/01/06,1752.0
2022/01/07,1865.0
2022/01/08,1360.0
2022/01/09,311.0
2022/01/10,3261.0
2022/01/11,2281.0
2022/01/12,2336.0
2022/01/13,2296.0
2022/01/14,2251.0
2022/01/15,1756.0
2022/01/16,538.0
2022/01/17,4228.0
2022/01/18,3217.0
2022/01/19,3372.0
2022/01/20,3025.0
2022/01/21,3099.0
2022/01/22,2317.0
2022/01/23,587.0
2022/01/24,5373.0
2022/01/25,3479.0
2022/01/26,3254.0
2022/01/27,2907.0
2022/01/28,2745.0
2022/01/29,2072.0
2022/01/30,512.0
2022/01/31,4278.0
2022/02/01,2384.0
2022/02/02,2379.0
2022/02/03,1945.0
2022/02/04,1727.0
2022/02/05,1205.0
2022/02/06,271.0
2022/02/07,2097.0
2022/02/08,1321.0
2022/02/09,1231.0
2022/02/10,1062.0
2022/02/11,975.0
2022/02/12,702.0
2022/02/13,200.0
2022/02/14,1280.0
2022/02/15,782.0
2022/02/16,699.0
2022/02/17,658.0
2022/02/18,596.0
2022/02/19,444.0
2022/02/20,120.0
2022/02/21,901.0
2022/02/22,516.0
2022/02/23,483.0
2022/02/24,442.0
2022/02/25,453.0
2022/02/26,323.0
2022/02/27,66.0
2022/02/28,687.0
2022/03/01,485.0
2022/03/02,550.0
2022/03/03,487.0
2022/03/04,430.0
2022/03/05,362.0
2022/03/06,77.0
2022/03/07,748.0
2022/03/08,474.0
2022/03/09,559.0
2022/03/10,511.0
2022/03/11,541.0
2022/03/12,374.0
2022/03/13,127.0
2022/03/14,1003.0
2022/03/15,705.0
2022/03/16,729.0
2022/03/17,704.0
2022/03/18,683.0
2022/03/19,547.0
2022/03/20,107.0
2022/03/21,1332.0
2022/03/22,924.0
2022/03/23,952.0
2022/03/24,959.0
2022/03/25,967.0
2022/03/26,739.0
2022/03/27,141.0
2022/03/28,1929.0
2022/03/29,1241.0
2022/03/30,1199.0
2022/03/31,1133.0
2022/04/01,1025.0
2022/04/02,729.0
2022/04/03,140.0
2022/04/04,1676.0
2022/04/05,1192.0
2022/04/06,1163.0
2022/04/07,1161.0
2022/04/08,1116.0
2022/04/09,773.0
2022/04/10,134.0
2022/04/11,1636.0
2022/04/12,1068.0
2022/04/13,1034.0
2022/04/14,1069.0
2022/04/15,965.0
2022/04/16,695.0
2022/04/17,119.0
2022/04/18,201.0
2022/04/19,1346.0
2022/04/20,791.0
2022/04/21,695.0
2022/04/22,680.0
2022/04/23,428.0
2022/04/24,69.0
2022/04/25,904.0
2022/04/26,500.0
2022/04/27,518.0
2022/04/28,456.0
