Datas,Bouches-du-Rhône
2022/08/09,1037.0
2022/08/10,1023.0
2022/08/11,945.0
2022/08/12,900.0
2022/08/13,658.0
2022/08/14,260.0
2022/08/15,335.0
2022/08/16,1400.0
2022/08/17,808.0
2022/08/18,757.0
2022/08/19,689.0
2022/08/20,491.0
2022/08/21,182.0
2022/08/22,1024.0
2022/08/23,715.0
2022/08/24,643.0
2022/08/25,618.0
2022/08/26,625.0
2022/08/27,475.0
2022/08/28,218.0
2022/08/29,964.0
2022/08/30,696.0
2022/08/31,639.0
2022/09/01,549.0
2022/09/02,498.0
2022/09/03,393.0
2022/09/04,201.0
2022/09/05,884.0
2022/09/06,645.0
2022/09/07,682.0
2022/09/08,505.0
2022/09/09,530.0
2022/09/10,416.0
2022/09/11,204.0
2022/09/12,1061.0
2022/09/13,784.0
2022/09/14,753.0
2022/09/15,729.0
2022/09/16,756.0
2022/09/17,625.0
2022/09/18,173.0
2022/09/19,1259.0
2022/09/20,930.0
2022/09/21,921.0
2022/09/22,926.0
2022/09/23,940.0
2022/09/24,732.0
2022/09/25,262.0
2022/09/26,1679.0
2022/09/27,1180.0
2022/09/28,1122.0
2022/09/29,957.0
2022/09/30,927.0
2022/10/01,713.0
2022/10/02,233.0
2022/10/03,1855.0
2022/10/04,1424.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
